#x points: 24 #c points: 100
xloc: cloc: weight: f
values below 10e-5 have been chopped
0.04 -7.99547 0.0116345 0
0.04 -7.97613 0.0270392 0
0.04 -7.94142 0.0423622 0
0.04 -7.89146 0.0575233 0
0.04 -7.82644 0.0724622 0
0.04 -7.74663 0.087121 0
0.04 -7.65231 0.101443 0
0.04 -7.54387 0.115372 0
0.04 -7.42172 0.128855 0
0.04 -7.28633 0.141839 0
0.04 -7.13822 0.154275 0
0.04 -6.97798 0.166114 0
0.04 -6.80621 0.17731 0
0.04 -6.62359 0.18782 0
0.04 -6.43081 0.197604 0
0.04 -6.22863 0.206623 0
0.04 -6.01783 0.214842 0
0.04 -5.79923 0.222231 0
0.04 -5.57366 0.22876 0
0.04 -5.342 0.234403 0
0.04 -5.10515 0.23914 0
0.04 -4.86403 0.242952 0.0000257731
0.04 -4.61956 0.245824 0.0000725809
0.04 -4.3727 0.247744 0.000192635
0.04 -4.12439 0.248706 0.00047858
0.04 -3.87561 0.248706 0.00110614
0.04 -3.6273 0.247744 0.00236531
0.04 -3.38044 0.245824 0.00465571
0.04 -3.13597 0.242952 0.00839483
0.04 -2.89485 0.23914 0.0137983
0.04 -2.658 0.234403 0.0205578
0.04 -2.42634 0.22876 0.0275544
0.04 -2.20077 0.222231 0.0328372
0.04 -1.98217 0.214842 0.034057
0.04 -1.77137 0.206623 0.0293344
0.04 -1.56919 0.197604 0.0182527
0.04 -1.37641 0.18782 0.00250069
0.04 -1.19379 0.17731 -0.0142034
0.04 -1.02202 0.166114 -0.0269483
0.04 -0.861777 0.154275 -0.0309171
0.04 -0.713672 0.141839 -0.0226681
0.04 -0.578281 0.128855 -0.0010491
0.04 -0.456128 0.115372 0.0323862
0.04 -0.347686 0.101443 0.0734597
0.04 -0.253374 0.087121 0.116106
0.04 -0.173556 0.0724622 0.154273
0.04 -0.108542 0.0575233 0.184813
0.04 -0.0585837 0.0423622 0.208169
0.04 -0.0238721 0.0270392 0.225061
0.04 -0.00453438 0.0116345 0.235009
0.04 0.00453438 0.0116345 0.263649
0.04 0.0238721 0.0270392 0.333525
0.04 0.0585837 0.0423622 0.389306
0.04 0.108542 0.0575233 0.421203
0.04 0.173556 0.0724622 0.434877
0.04 0.253374 0.087121 0.43406
0.04 0.347686 0.101443 0.419795
0.04 0.456128 0.115372 0.391974
0.04 0.578281 0.128855 0.350673
0.04 0.713672 0.141839 0.297139
0.04 0.861777 0.154275 0.234406
