#x points: 9 #c points: 50
xloc: cloc: weight: f
values below 10e-5 have been chopped
0.1 -7.98223 0.0455752 0
0.1 -7.90666 0.10542 0
0.1 -7.7719 0.163757 0
0.1 -7.57997 0.219619 0
0.1 -7.33377 0.272153 0
0.1 -7.03704 0.320563 0
0.1 -6.69427 0.364113 0
0.1 -6.31065 0.402144 0
0.1 -5.89201 0.434078 0
0.1 -5.44469 0.459433 0
0.1 -4.97547 0.477823 0.0000192851
0.1 -4.49146 0.48897 0.000152584
0.1 -4. 0.492704 0.000950195
0.1 -3.50854 0.48897 0.00445066
0.1 -3.02453 0.477823 0.0151223
0.1 -2.55531 0.459433 0.0360428
0.1 -2.10799 0.434078 0.0571688
0.1 -1.68935 0.402144 0.0504618
0.1 -1.30573 0.364113 -0.00808429
0.1 -0.962963 0.320563 -0.109493
0.1 -0.666229 0.272153 -0.216671
0.1 -0.420032 0.219619 -0.296511
0.1 -0.228102 0.163757 -0.339716
0.1 -0.0933443 0.10542 -0.355757
0.1 -0.0177721 0.0455752 -0.358928
0.1 0.0177721 0.0455752 0.438704
0.1 0.0933443 0.10542 0.435198
0.1 0.228102 0.163757 0.417455
0.1 0.420032 0.219619 0.369563
0.1 0.666229 0.272153 0.280579
0.1 0.962963 0.320563 0.159679
0.1 1.30573 0.364113 0.0421029
0.1 1.68935 0.402144 -0.0313093
0.1 2.10799 0.434078 -0.0485187
0.1 2.55531 0.459433 -0.0329945
0.1 3.02453 0.477823 -0.0142991
0.1 3.50854 0.48897 -0.00428127
0.1 4. 0.492704 -0.000923429
0.1 4.49146 0.48897 -0.000149262
0.1 4.97547 0.477823 -0.0000189491
0.1 5.44469 0.459433 0
0.1 5.89201 0.434078 0
0.1 6.31065 0.402144 0
0.1 6.69427 0.364113 0
0.1 7.03704 0.320563 0
0.1 7.33377 0.272153 0
0.1 7.57997 0.219619 0
0.1 7.7719 0.163757 0
0.1 7.90666 0.10542 0
0.1 7.98223 0.0455752 0
0.2 -7.98223 0.0455752 0
0.2 -7.90666 0.10542 0
0.2 -7.7719 0.163757 0
0.2 -7.57997 0.219619 0
0.2 -7.33377 0.272153 0
0.2 -7.03704 0.320563 0
0.2 -6.69427 0.364113 0
0.2 -6.31065 0.402144 0
0.2 -5.89201 0.434078 0
0.2 -5.44469 0.459433 0
0.2 -4.97547 0.477823 0.0000192851
0.2 -4.49146 0.48897 0.000152584
0.2 -4. 0.492704 0.000950195
0.2 -3.50854 0.48897 0.00445066
0.2 -3.02453 0.477823 0.0151223
0.2 -2.55531 0.459433 0.0360428
0.2 -2.10799 0.434078 0.0571688
0.2 -1.68935 0.402144 0.0504618
0.2 -1.30573 0.364113 -0.00808429
0.2 -0.962963 0.320563 -0.109493
0.2 -0.666229 0.272153 -0.216671
0.2 -0.420032 0.219619 -0.296511
0.2 -0.228102 0.163757 -0.339716
0.2 -0.0933443 0.10542 -0.355757
0.2 -0.0177721 0.0455752 -0.358929
0.2 0.0177721 0.0455752 0.438704
0.2 0.0933443 0.10542 0.435198
0.2 0.228102 0.163757 0.417455
0.2 0.420032 0.219619 0.369563
0.2 0.666229 0.272153 0.280579
0.2 0.962963 0.320563 0.159679
0.2 1.30573 0.364113 0.0421029
0.2 1.68935 0.402144 -0.0313093
0.2 2.10799 0.434078 -0.0485187
0.2 2.55531 0.459433 -0.0329945
0.2 3.02453 0.477823 -0.0142991
0.2 3.50854 0.48897 -0.00428127
0.2 4. 0.492704 -0.000923429
0.2 4.49146 0.48897 -0.000149262
0.2 4.97547 0.477823 -0.0000189491
0.2 5.44469 0.459433 0
0.2 5.89201 0.434078 0
0.2 6.31065 0.402144 0
0.2 6.69427 0.364113 0
0.2 7.03704 0.320563 0
0.2 7.33377 0.272153 0
0.2 7.57997 0.219619 0
0.2 7.7719 0.163757 0
0.2 7.90666 0.10542 0
0.2 7.98223 0.0455752 0
0.3 -7.98223 0.0455752 0
0.3 -7.90666 0.10542 0
0.3 -7.7719 0.163757 0
0.3 -7.57997 0.219619 0
0.3 -7.33377 0.272153 0
0.3 -7.03704 0.320563 0
0.3 -6.69427 0.364113 0
0.3 -6.31065 0.402144 0
0.3 -5.89201 0.434078 0
0.3 -5.44469 0.459433 0
0.3 -4.97547 0.477823 0.0000192851
0.3 -4.49146 0.48897 0.000152584
0.3 -4. 0.492704 0.000950195
0.3 -3.50854 0.48897 0.00445066
0.3 -3.02453 0.477823 0.0151223
0.3 -2.55531 0.459433 0.0360428
0.3 -2.10799 0.434078 0.0571688
0.3 -1.68935 0.402144 0.0504618
0.3 -1.30573 0.364113 -0.00808429
0.3 -0.962963 0.320563 -0.109493
0.3 -0.666229 0.272153 -0.216671
0.3 -0.420032 0.219619 -0.296511
0.3 -0.228102 0.163757 -0.339716
0.3 -0.0933443 0.10542 -0.355757
0.3 -0.0177721 0.0455752 -0.358929
0.3 0.0177721 0.0455752 0.438704
0.3 0.0933443 0.10542 0.435198
0.3 0.228102 0.163757 0.417455
0.3 0.420032 0.219619 0.369563
0.3 0.666229 0.272153 0.280579
0.3 0.962963 0.320563 0.159679
0.3 1.30573 0.364113 0.0421029
0.3 1.68935 0.402144 -0.0313093
0.3 2.10799 0.434078 -0.0485187
0.3 2.55531 0.459433 -0.0329945
0.3 3.02453 0.477823 -0.0142991
0.3 3.50854 0.48897 -0.00428127
0.3 4. 0.492704 -0.000923429
0.3 4.49146 0.48897 -0.000149262
0.3 4.97547 0.477823 -0.0000189491
0.3 5.44469 0.459433 0
0.3 5.89201 0.434078 0
0.3 6.31065 0.402144 0
0.3 6.69427 0.364113 0
0.3 7.03704 0.320563 0
0.3 7.33377 0.272153 0
0.3 7.57997 0.219619 0
0.3 7.7719 0.163757 0
0.3 7.90666 0.10542 0
0.3 7.98223 0.0455752 0
0.4 -7.98223 0.0455752 0
0.4 -7.90666 0.10542 0
0.4 -7.7719 0.163757 0
0.4 -7.57997 0.219619 0
0.4 -7.33377 0.272153 0
0.4 -7.03704 0.320563 0
0.4 -6.69427 0.364113 0
0.4 -6.31065 0.402144 0
0.4 -5.89201 0.434078 0
0.4 -5.44469 0.459433 0
0.4 -4.97547 0.477823 0.0000192851
0.4 -4.49146 0.48897 0.000152584
0.4 -4. 0.492704 0.000950195
0.4 -3.50854 0.48897 0.00445066
0.4 -3.02453 0.477823 0.0151223
0.4 -2.55531 0.459433 0.0360428
0.4 -2.10799 0.434078 0.0571688
0.4 -1.68935 0.402144 0.0504618
0.4 -1.30573 0.364113 -0.00808429
0.4 -0.962963 0.320563 -0.109493
0.4 -0.666229 0.272153 -0.216671
0.4 -0.420032 0.219619 -0.296511
0.4 -0.228102 0.163757 -0.339716
0.4 -0.0933443 0.10542 -0.355757
0.4 -0.0177721 0.0455752 -0.358928
0.4 0.0177721 0.0455752 0.438704
0.4 0.0933443 0.10542 0.435198
0.4 0.228102 0.163757 0.417455
0.4 0.420032 0.219619 0.369563
0.4 0.666229 0.272153 0.280579
0.4 0.962963 0.320563 0.159679
0.4 1.30573 0.364113 0.0421029
0.4 1.68935 0.402144 -0.0313093
0.4 2.10799 0.434078 -0.0485187
0.4 2.55531 0.459433 -0.0329945
0.4 3.02453 0.477823 -0.0142991
0.4 3.50854 0.48897 -0.00428127
0.4 4. 0.492704 -0.000923429
0.4 4.49146 0.48897 -0.000149262
0.4 4.97547 0.477823 -0.0000189491
0.4 5.44469 0.459433 0
0.4 5.89201 0.434078 0
0.4 6.31065 0.402144 0
0.4 6.69427 0.364113 0
0.4 7.03704 0.320563 0
0.4 7.33377 0.272153 0
0.4 7.57997 0.219619 0
0.4 7.7719 0.163757 0
0.4 7.90666 0.10542 0
0.4 7.98223 0.0455752 0
0.5 -7.98223 0.0455752 0
0.5 -7.90666 0.10542 0
0.5 -7.7719 0.163757 0
0.5 -7.57997 0.219619 0
0.5 -7.33377 0.272153 0
0.5 -7.03704 0.320563 0
0.5 -6.69427 0.364113 0
0.5 -6.31065 0.402144 0
0.5 -5.89201 0.434078 0
0.5 -5.44469 0.459433 0
0.5 -4.97547 0.477823 0.0000192851
0.5 -4.49146 0.48897 0.000152584
0.5 -4. 0.492704 0.000950195
0.5 -3.50854 0.48897 0.00445066
0.5 -3.02453 0.477823 0.0151223
0.5 -2.55531 0.459433 0.0360428
0.5 -2.10799 0.434078 0.0571688
0.5 -1.68935 0.402144 0.0504618
0.5 -1.30573 0.364113 -0.00808429
0.5 -0.962963 0.320563 -0.109493
0.5 -0.666229 0.272153 -0.216671
0.5 -0.420032 0.219619 -0.296511
0.5 -0.228102 0.163757 -0.339716
0.5 -0.0933443 0.10542 -0.355757
0.5 -0.0177721 0.0455752 -0.358928
0.5 0.0177721 0.0455752 0.438704
0.5 0.0933443 0.10542 0.435198
0.5 0.228102 0.163757 0.417455
0.5 0.420032 0.219619 0.369563
0.5 0.666229 0.272153 0.280579
0.5 0.962963 0.320563 0.159679
0.5 1.30573 0.364113 0.0421029
0.5 1.68935 0.402144 -0.0313093
0.5 2.10799 0.434078 -0.0485187
0.5 2.55531 0.459433 -0.0329945
0.5 3.02453 0.477823 -0.0142991
0.5 3.50854 0.48897 -0.00428127
0.5 4. 0.492704 -0.000923429
