14 28
1 2 0.316227766016838
1 7 -0.182574185835055
1 14 0.150000000000000
1 23 -0.133630620956212
1 1 -0.730296743340221
1 3 0.886226925452758
1 6 -0.422577127364258
1 13 0.0389249472080761
1 22 0.0456435464587638
1 5 0.326598632371090
1 12 -0.126773138209277
1 21 0.0485812706723472
1 11 0.0755928946018454
1 20 -0.0676203432593389
1 19 0.0356348322549899
2 2 -0.571547606649408
2 4 0.886226925452758
2 7 -0.612825877028341
2 14 0.245288945259803
2 23 -0.172516389835589
2 1 -0.0942809041582063
2 6 0.109108945117996
2 13 -0.120604537831105
2 22 0.129636243217534
2 5 0.0421637021355784
2 12 0.0109108945117996
2 21 -0.0459933105503900
2 11 0.00975900072948533
2 20 0.00134303827337563
2 19 0.00460043706228236
3 2 0.119522860933439
3 14 -0.0566946709513841
3 23 0.101015254455221
3 1 -0.276026223736942
3 6 0.223606797749979
3 13 -0.176546965900950
3 22 0.120761472884912
3 5 -0.617213399848368
3 8 0.886226925452758
3 12 -0.431241681374959
3 21 0.0163217727713710
3 11 0.371428571428571
3 20 -0.143518490811115
3 19 0.0942809041582063
4 2 -0.173205080756888
4 7 0.166666666666667
4 14 -0.191702895126808
4 23 0.219577516413420
4 1 0.0666666666666667
4 6 -0.478340384882485
4 9 0.886226925452758
4 13 -0.596962005795709
4 22 0.158333333333333
4 5 -0.149071198499986
4 12 0.162018517460197
4 21 -0.156697784937107
4 11 0.0483045891539648
4 20 0.0275404726444125
4 19 0.00975900072948533
5 2 0.104328106191460
5 7 -0.456773439802099
5 10 0.886226925452758
5 14 -0.684572462039128
5 23 0.319628367778619
5 1 0.0401559067957889
5 6 -0.0650600048632355
5 13 0.0931037905306382
5 22 -0.122977464562104
5 5 -0.0359165349174119
5 12 0.0139414296135505
5 21 0.0111303213096245
5 11 0.00415653124259033
5 20 0.00286011892919225
6 2 0.0731925054711400
6 7 -0.0140859042454753
6 14 0.0192879187452615
6 23 -0.0515491311776452
6 1 -0.169030850945703
6 6 0.0586845597326964
6 13 0.0270281238808668
6 22 -0.0880369015342205
6 5 -0.226778683805536
6 12 0.231477985612302
6 21 -0.176161941038720
6 11 -0.589043961955002
6 15 0.886226925452758
6 20 -0.423381461249238
6 19 0.393148040448174
7 2 -0.0957427107756338
7 7 0.0351763235340724
7 14 0.0206430705961193
7 23 -0.0919515447400781
7 1 0.0703526470681448
7 6 -0.146551263137759
7 13 0.205703790890632
7 22 -0.232414994778693
7 5 0.00449466574975495
7 12 -0.450121736780260
7 16 0.886226925452758
7 21 -0.580771191102395
7 11 -0.157087258956310
7 20 0.189698078309555
7 19 0.0554161309633537
8 2 0.0682014165751841
8 7 -0.0935182522696413
8 14 0.137490782717558
8 23 -0.190934876377658
8 1 0.00787522124375927
8 6 0.0546827858822109
8 13 -0.437590107520026
8 17 0.886226925452758
8 22 -0.662010785803513
8 5 0.0352190600777923
8 12 -0.0820241788233164
8 21 0.126167897569586
8 11 -0.0448339563582861
8 20 0.0190711259945774
8 19 0.00768542898627051
9 2 -0.0260047462993390
9 7 0.0807562997428273
9 14 -0.436713591096992
9 18 0.886226925452758
9 23 -0.713453213453213
9 1 -0.0136489520692103
9 6 0.0284320668746408
9 13 -0.0501969196868681
9 22 0.0790501807341761
9 5 0.0183119907890343
9 12 -0.0152690729511960
9 21 0.00756636989136081
9 11 -0.00800587098246507
9 20 0.00149063234396562
9 19 0.00111000111000111
10 2 0.0520156486610299
10 7 -0.0120124995026075
10 14 0.00822439618699711
10 1 -0.120124995026075
10 6 0.0305838870920598
10 13 -0.00256107349917732
10 22 0.0225234365673890
10 5 -0.139675980431066
10 12 0.0569972441261115
10 21 0.0415533681968212
10 11 -0.216353658116367
10 20 0.242817748905786
10 19 -0.573254657989464
10 24 0.886226925452758
11 2 -0.0640588428988173
11 7 0.0176387091683054
11 14 -0.00233736747502114
11 23 0.0145760471308634
11 1 0.0625889680165676
11 6 -0.0771737023265071
11 13 0.0407598936958404
11 22 0.0376956284645236
11 5 0.0269727960644003
11 12 -0.146577356125260
11 21 0.232201799697681
11 11 -0.0168442915769752
11 20 -0.433423473040314
11 25 0.886226925452758
11 19 -0.158309753790825
12 2 0.0484262076069644
12 7 -0.0387611800877393
12 14 0.0198382171033733
12 23 0.0227892403928435
12 1 -0.00508343345412975
12 6 0.0482400348938177
12 13 -0.112578858055774
12 22 0.183321318939554
12 5 0.0227338055250614
12 12 0.0300029485315208
12 21 -0.422986098809474
12 26 0.886226925452758
12 11 0.0247307115668210
12 20 -0.0894311366788926
12 19 -0.0496092307871424
13 2 -0.0236503336221861
13 7 0.0423290320979002
13 14 -0.0755368108856580
13 23 0.122927307532218
13 1 -0.00858284521800742
13 6 -0.000252832701420345
13 13 0.0561852881748712
13 22 -0.423973047303162
13 27 0.886226925452758
13 5 -0.00244259595335937
13 12 0.0271795154026871
13 21 -0.0635834648206296
13 11 0.0186565865412564
13 20 -0.0212404607320561
13 19 -0.0119929080519237
14 2 0.00681770329745109
14 7 -0.0217248117955580
14 14 0.0763288188465638
14 23 -0.427676952120370
14 28 0.886226925452758
14 1 0.00423898766742595
14 6 -0.0107924849592750
14 13 0.0227068495838600
14 22 -0.0415950664866172
14 5 -0.00758293166411816
14 12 0.00932078246482841
14 21 -0.00963461288643247
14 11 0.00570409982174688
14 20 -0.00332115766252296
14 19 -0.00206841418693446
