27 54
1 2 0.316227766016837933
1 7 -0.182574185835055371
1 14 0.150000000000000000
1 23 -0.133630620956212192
1 34 0.123251662147908668
1 47 -0.115858946372498376
1 1 -0.730296743340221485
1 3 0.886226925452758014
1 6 -0.422577127364258289
1 13 0.0389249472080761485
1 22 0.0456435464587638428
1 33 -0.0867109969524119992
1 46 0.112669290231866895
1 5 0.326598632371090413
1 12 -0.126773138209277487
1 21 0.0485812706723471791
1 32 0.00553509303462559555
1 45 -0.0496699633899391427
1 11 0.0755928946018454454
1 20 -0.0676203432593389200
1 31 0.0426742963749324295
1 44 -0.0108865881642314889
1 19 0.0356348322549899180
1 30 -0.0433547089239541070
1 43 0.0358610491062397269
1 29 0.0212352996432343977
1 42 -0.0306096989748130540
1 41 0.0142815511749495882
2 2 -0.571547606649408223
2 4 0.886226925452758014
2 7 -0.612825877028341188
2 14 0.245288945259803069
2 23 -0.172516389835588554
2 34 0.140932387444078413
2 47 -0.122982455429359286
2 1 -0.0942809041582063366
2 6 0.109108945117996191
2 13 -0.120604537831105449
2 22 0.129636243217533713
2 33 -0.137130684244641282
2 46 0.143578583997087447
2 5 0.0421637021355783911
2 12 0.0109108945117996191
2 21 -0.0459933105503899924
2 32 0.0757452084379414032
2 45 -0.102597835208515410
2 11 0.00975900072948533179
2 20 0.00134303827337563383
2 31 -0.0220369118894977121
2 44 0.0477853846113656424
2 19 0.00460043706228236145
2 30 -0.000658478688792722884
2 43 -0.0119047925113708144
2 29 0.00274146539566570412
2 42 -0.00112905575582736381
2 41 0.00184374032861962408
3 2 0.119522860933439364
3 14 -0.0566946709513840841
3 23 0.101015254455221075
3 34 -0.139754248593736856
3 47 0.175162262436342668
3 1 -0.276026223736941687
3 6 0.223606797749978970
3 13 -0.176546965900949906
3 22 0.120761472884911988
3 33 -0.0573539334676404415
3 46 -0.0123633838761710063
3 5 -0.617213399848367641
3 8 0.886226925452758014
3 12 -0.431241681374959441
3 21 0.0163217727713709579
3 32 0.0648541241785685336
3 45 -0.0750939261482638305
3 11 0.371428571428571429
3 20 -0.143518490811114865
3 31 0.0387104830569381878
3 44 0.0276275638918607890
3 19 0.0942809041582063366
3 30 -0.0811615672740403271
3 43 0.0398327584466877574
3 29 0.0465518952653190964
3 42 -0.0540691373860176009
3 41 0.0285318573789975497
4 2 -0.173205080756887729
4 7 0.166666666666666667
4 14 -0.191702895126808140
4 23 0.219577516413419965
4 34 -0.247528290564189106
4 47 0.274987086473661027
4 1 0.0666666666666666667
4 6 -0.478340384882484922
4 9 0.886226925452758014
4 13 -0.596962005795709216
4 22 0.158333333333333333
4 33 -0.0138522909625910147
4 46 -0.0929938449676286588
4 5 -0.149071198499985980
4 12 0.162018517460196506
4 21 -0.156697784937106894
4 32 0.126320638039756757
4 45 -0.0725476250110011672
4 11 0.0483045891539647952
4 20 0.0275404726444125043
4 31 -0.0716792692339817170
4 44 0.0905782258033357737
4 19 0.00975900072948533179
4 30 0.00959166376991050886
4 43 -0.0396846662775001938
4 29 0.00426471929765965814
4 42 0.00421991861535422508
4 41 0.00242119667978323525
5 2 0.104328106191460212
5 7 -0.456773439802099237
5 10 0.886226925452758014
5 14 -0.684572462039127692
5 23 0.319628367778618957
5 34 -0.254818352381005886
5 47 0.232526531093416655
5 1 0.0401559067957889439
5 6 -0.0650600048632355453
5 13 0.0931037905306381929
5 22 -0.122977464562103641
5 33 0.154359737082542318
5 46 -0.187055200497410106
5 5 -0.0359165349174119377
5 12 0.0139414296135504740
5 21 0.0111303213096244902
5 32 -0.0435222196052277669
5 45 0.0832997605125254031
5 11 0.00415653124259033107
5 20 0.00286011892919225066
5 31 0.00258112553804758286
5 44 -0.0195830038781390810
5 30 0.00140228867607186409
5 43 0.000543263781907256714
5 29 -0.000233527732673214161
5 42 0.000893071849399348769
5 41 -0.000224366188171498255
6 2 0.0731925054711399885
6 7 -0.0140859042454752763
6 14 0.0192879187452614888
6 23 -0.0515491311776451575
6 34 0.104599793968000473
6 47 -0.175794664892156083
6 1 -0.169030850945703316
6 6 0.0586845597326963693
6 13 0.0270281238808667687
6 22 -0.0880369015342204768
6 33 0.117073226447711746
6 46 -0.108517602133598985
6 5 -0.226778683805536336
6 12 0.231477985612302346
6 21 -0.176161941038720025
6 32 0.0918139652414163380
6 45 -0.00383212087178103630
6 11 -0.589043961955002352
6 15 0.886226925452758014
6 20 -0.423381461249238334
6 31 -0.00197543606637816865
6 44 0.0670734925771289818
6 19 0.393148040448173735
6 30 -0.147293145004267744
6 43 0.0262557980078087799
6 29 0.104526024129556260
6 42 -0.0861257248923456440
6 41 0.0530459950482909214
7 2 -0.0957427107756338110
7 7 0.0351763235340724226
7 14 0.0206430705961192614
7 23 -0.0919515447400780760
7 34 0.179796688571787860
7 47 -0.283813216553591577
7 1 0.0703526470681448453
7 6 -0.146551263137759162
7 13 0.205703790890632007
7 22 -0.232414994778692792
7 33 0.219272700864694070
7 46 -0.161158211650266996
7 5 0.00449466574975494724
7 12 -0.450121736780260282
7 16 0.886226925452758014
7 21 -0.580771191102394985
7 32 0.101311700425946225
7 45 0.0601533128982234772
7 11 -0.157087258956310414
7 20 0.189698078309555332
7 31 -0.172427074220604180
7 44 0.108342520173627783
7 19 0.0554161309633537205
7 30 0.0374976690303371449
7 43 -0.0861144563183823567
7 29 0.0110467170995588527
7 42 0.0149415547127610597
7 41 0.00468896348039408701
8 2 0.0682014165751840839
8 7 -0.0935182522696412963
8 14 0.137490782717558055
8 23 -0.190934876377657906
8 34 0.252528143136598998
8 47 -0.321714183102626996
8 1 0.00787522124375926706
8 6 0.0546827858822109108
8 13 -0.437590107520025998
8 17 0.886226925452758014
8 22 -0.662010785803513387
8 33 0.233179567335370581
8 46 -0.0797183337813975268
8 5 0.0352190600777923252
8 12 -0.0820241788233163662
8 21 0.126167897569586163
8 32 -0.156084586340677439
8 45 0.162025219495736766
8 11 -0.0448339563582861150
8 20 0.0190711259945773516
8 31 0.0190975592185244053
