10 10
1 3 1.29099444873581
2 4 1.73205080756888
2 3 -0.596284793999944
3 2 -0.894427190999916
3 6 1.67332005306815
3 1 1.29099444873581
3 5 -1.15470053837925
4 7 2.00000000000000
4 2 1.03923048454133
4 6 -0.555492059863531
5 3 -1.15470053837925
5 8 1.52752523165195
6 4 -0.925820099772551
6 9 1.96396101212393
6 3 1.11554670204543
6 8 -0.843274042711568
7 10 2.23606797749979
7 4 1.14285714285714
7 9 -0.538748023761179
8 6 -1.26491106406735
8 5 1.52752523165195
9 7 -0.942809041582063
9 6 1.17837660727436
10 7 1.24225998749988
