-5.000000000000E-01    -1.511587303990E-02    +7.430850639673E-17     +3.390899839675E-02    +1.879312535685E-02    -6.880625191250E-03    -4.166620370370E-02
-4.983333333333E-01    -1.549220433240E-02    -4.652830608598E-07     +3.443269666430E-02    +1.894049233190E-02    -7.027633499811E-03    -4.125101825887E-02
-4.950000000000E-01    -1.619763687464E-02    +9.625217620439E-08     +3.540711465216E-02    +1.920947777753E-02    -7.297029463724E-03    -4.043012922661E-02
-4.916666666667E-01    -1.683177907735E-02    +1.312216544370E-08     +3.627876138980E-02    +1.944698231245E-02    -7.534471726301E-03    -3.961883723988E-02
-4.883333333333E-01    -1.740427427435E-02    +3.904110623713E-08     +3.706012989934E-02    +1.965585562499E-02    -7.743366924699E-03    -3.881855361602E-02
-4.850000000000E-01    -1.792259325864E-02    +2.990827762675E-08     +3.776263438398E-02    +1.984004112534E-02    -7.927547999276E-03    -3.802904636660E-02
-4.816666666667E-01    -1.839391435133E-02    +2.745760698906E-08     +3.839677801798E-02    +2.000286366665E-02    -8.090370960900E-03    -3.725032359542E-02
-4.783333333333E-01    -1.882424137387E-02    +2.368615803633E-08     +3.897142132992E-02    +2.014717995605E-02    -8.234686324798E-03    -3.648230244463E-02
-4.750000000000E-01    -1.921866938619E-02    +2.080828743106E-08     +3.949404417577E-02    +2.027537478957E-02    -8.362880610543E-03    -3.572491305537E-02
-4.716666666667E-01    -1.958148718932E-02    +1.829677274864E-08     +3.997093319604E-02    +2.038944600672E-02    -8.476951294830E-03    -3.497808058366E-02
-4.683333333333E-01    -1.991631637193E-02    +1.620043350483E-08     +4.040738442558E-02    +2.049106805365E-02    -8.578572905749E-03    -3.424173093783E-02
-4.650000000000E-01    -2.022622085065E-02    +1.442857880441E-08     +4.080786993558E-02    +2.058164908493E-02    -8.669153565414E-03    -3.351578979306E-02
-4.616666666667E-01    -2.051380058691E-02    +1.293273788868E-08     +4.117617806952E-02    +2.066237748262E-02    -8.749881650241E-03    -3.280018290139E-02
-4.583333333333E-01    -2.078126896945E-02    +1.166546020407E-08     +4.151552924697E-02    +2.073426027751E-02    -8.821764180650E-03    -3.209483603190E-02
-4.550000000000E-01    -2.103051710999E-02    +1.058888645084E-08     +4.182867175267E-02    +2.079815464268E-02    -8.885658322197E-03    -3.139967498265E-02
-4.516666666667E-01    -2.126316713140E-02    +9.671228208139E-09     +4.211796087613E-02    +2.085479374473E-02    -8.942297234887E-03    -3.071462557309E-02
-4.483333333333E-01    -2.148061636747E-02    +8.886207712990E-09     +4.238542432674E-02    +2.090480795927E-02    -8.992311288848E-03    -3.003961364117E-02
-4.450000000000E-01    -2.168407403032E-02    +8.212005999710E-09     +4.263281632255E-02    +2.094874229223E-02    -9.036245485431E-03    -2.937456503997E-02
-4.416666666667E-01    -2.187459164369E-02    +7.630522422656E-09     +4.286166233731E-02    +2.098707069362E-02    -9.074573770776E-03    -2.871940563510E-02
-4.383333333333E-01    -2.205308831439E-02    +7.126729343186E-09     +4.307329614047E-02    +2.102020782608E-02    -9.107710804303E-03    -2.807406130253E-02
-4.350000000000E-01    -2.222037172964E-02    +6.688145344126E-09     +4.326889047832E-02    +2.104851874868E-02    -9.136021642379E-03    -2.743845792676E-02
-4.316666666667E-01    -2.237715561452E-02    +6.304397520526E-09     +4.344948250702E-02    +2.107232689249E-02    -9.159829713807E-03    -2.681252139937E-02
-4.283333333333E-01    -2.252407425720E-02    +5.966859679655E-09     +4.361599489336E-02    +2.109192063615E-02    -9.179423395320E-03    -2.619617761777E-02
-4.250000000000E-01    -2.266169460455E-02    +5.668352856872E-09     +4.376925333819E-02    +2.110755873364E-02    -9.195061439302E-03    -2.558935248418E-02
-4.216666666667E-01    -2.279052634413E-02    +5.402897483694E-09     +4.391000114482E-02    +2.111947480069E-02    -9.206977460169E-03    -2.499197190482E-02
-4.183333333333E-01    -2.291103031683E-02    +5.165508281455E-09     +4.403891134571E-02    +2.112788102888E-02    -9.215383648354E-03    -2.440396178920E-02
-4.150000000000E-01    -2.302362554494E-02    +4.952024457733E-09     +4.415659681043E-02    +2.113297126549E-02    -9.220473850215E-03    -2.382524804957E-02
-4.116666666667E-01    -2.312869511155E-02    +4.758969191425E-09     +4.426361868423E-02    +2.113492357268E-02    -9.222426127114E-03    -2.325575660043E-02
-4.083333333333E-01    -2.322659108637E-02    +4.583433260764E-09     +4.436049344481E-02    +2.113390235844E-02    -9.221404886380E-03    -2.269541335816E-02
-4.050000000000E-01    -2.331763865968E-02    +4.422978748436E-09     +4.444769881512E-02    +2.113006015544E-02    -9.217562660120E-03    -2.214414424067E-02
-4.016666666667E-01    -2.340213961821E-02    +4.275559215911E-09     +4.452567872811E-02    +2.112353910990E-02    -9.211041594096E-03    -2.160187516718E-02
-3.983333333333E-01    -2.348037527368E-02    +4.139453671910E-09     +4.459484750524E-02    +2.111447223156E-02    -9.201974697643E-03    -2.106853205796E-02
-3.950000000000E-01    -2.355260893599E-02    +4.013211811324E-09     +4.465559338243E-02    +2.110298444644E-02    -9.190486896447E-03    -2.054404083418E-02
-3.916666666667E-01    -2.361908800709E-02    +3.895608651749E-09     +4.470828149382E-02    +2.108919348673E-02    -9.176695922427E-03    -2.002832741773E-02
-3.883333333333E-01    -2.368004575846E-02    +3.785606975371E-09     +4.475325640442E-02    +2.107321064596E-02    -9.160713068873E-03    -1.952131773113E-02
-3.850000000000E-01    -2.373570284474E-02    +3.682326109440E-09     +4.479084426719E-02    +2.105514142245E-02    -9.142643833889E-03    -1.902293769738E-02
