#x points: 24 #c points: 170
xloc: cloc: weight: f
values below 10e-5 have been chopped
0.04 -7.99842 0.00405989 0
0.04 -7.99167 0.00944533 0
0.04 -7.97953 0.014826 0
0.04 -7.96202 0.0201874 0
0.04 -7.93916 0.0255216 0
0.04 -7.91099 0.0308214 0
0.04 -7.87753 0.0360797 0
0.04 -7.83885 0.0412892 0
0.04 -7.79498 0.046443 0
0.04 -7.74598 0.0515341 0
0.04 -7.69193 0.0565557 0
0.04 -7.6329 0.0615009 0
0.04 -7.56896 0.066363 0
0.04 -7.5002 0.0711356 0
0.04 -7.42672 0.0758122 0
0.04 -7.34861 0.0803864 0
0.04 -7.26598 0.0848521 0
0.04 -7.17894 0.0892032 0
0.04 -7.08761 0.093434 0
0.04 -6.99212 0.0975386 0
0.04 -6.89258 0.101511 0
0.04 -6.78914 0.105347 0
0.04 -6.68193 0.109041 0
0.04 -6.57111 0.112588 0
0.04 -6.45681 0.115982 0
0.04 -6.33919 0.11922 0
0.04 -6.21842 0.122297 0
0.04 -6.09466 0.125209 0
0.04 -5.96806 0.127952 0
0.04 -5.83881 0.130522 0
0.04 -5.70708 0.132916 0
0.04 -5.57304 0.13513 0
0.04 -5.43688 0.137162 0
0.04 -5.29878 0.139009 0
0.04 -5.15892 0.140668 0
0.04 -5.0175 0.142138 0.0000155857
0.04 -4.87471 0.143415 0.0000296543
0.04 -4.73074 0.144499 0.0000554401
0.04 -4.58578 0.145388 0.000101687
0.04 -4.44003 0.146081 0.000182717
0.04 -4.29368 0.146576 0.000321199
0.04 -4.14694 0.146873 0.000551688
0.04 -4. 0.146973 0.000924742
0.04 -3.85306 0.146873 0.00151102
0.04 -3.70632 0.146576 0.00240434
0.04 -3.55997 0.146081 0.00372197
0.04 -3.41422 0.145388 0.00560022
0.04 -3.26926 0.144499 0.00818299
0.04 -3.12529 0.143415 0.0116016
0.04 -2.9825 0.142138 0.0159457
0.04 -2.84108 0.140668 0.0212263
0.04 -2.70122 0.139009 0.0273367
0.04 -2.56312 0.137162 0.0340167
0.04 -2.42696 0.13513 0.0408305
0.04 -2.29292 0.132916 0.0471659
0.04 -2.16119 0.130522 0.0522612
0.04 -2.03194 0.127952 0.0552634
0.04 -1.90534 0.125209 0.0553105
0.04 -1.78158 0.122297 0.0516309
0.04 -1.66081 0.11922 0.0436429
0.04 -1.54319 0.115982 0.0310406
0.04 -1.42889 0.112588 0.0138493
0.04 -1.31807 0.109041 -0.00755612
0.04 -1.21086 0.105347 -0.0324747
0.04 -1.10742 0.101511 -0.059938
0.04 -1.00788 0.0975386 -0.0887953
0.04 -0.912386 0.093434 -0.11781
0.04 -0.821057 0.0892032 -0.145752
0.04 -0.73402 0.0848521 -0.171482
0.04 -0.651391 0.0803864 -0.193998
0.04 -0.573283 0.0758122 -0.21247
0.04 -0.499801 0.0711356 -0.226228
0.04 -0.431044 0.066363 -0.234732
0.04 -0.367105 0.0615009 -0.237514
0.04 -0.30807 0.0565557 -0.234092
0.04 -0.254019 0.0515341 -0.223876
0.04 -0.205025 0.046443 -0.206056
0.04 -0.161154 0.0412892 -0.179533
0.04 -0.122465 0.0360797 -0.142987
0.04 -0.0890108 0.0308214 -0.0954415
0.04 -0.0608362 0.0255216 -0.0381443
0.04 -0.0379791 0.0201874 0.0210236
0.04 -0.0204705 0.014826 0.0643153
0.04 -0.0083336 0.00944533 0.0829101
0.04 -0.00158209 0.00405989 0.0913225
0.04 0.00158209 0.00405989 0.194149
0.04 0.0083336 0.00944533 0.333504
0.04 0.0204705 0.014826 0.390528
0.04 0.0379791 0.0201874 0.414343
0.04 0.0608362 0.0255216 0.425356
0.04 0.0890108 0.0308214 0.430254
0.04 0.122465 0.0360797 0.431371
0.04 0.161154 0.0412892 0.429476
0.04 0.205025 0.046443 0.424703
0.04 0.254019 0.0515341 0.416894
0.04 0.30807 0.0565557 0.405777
0.04 0.367105 0.0615009 0.391055
0.04 0.431044 0.066363 0.372482
0.04 0.499801 0.0711356 0.349921
0.04 0.573283 0.0758122 0.323398
0.04 0.651391 0.0803864 0.293144
0.04 0.73402 0.0848521 0.259626
0.04 0.821057 0.0892032 0.223554
0.04 0.912386 0.093434 0.18587
0.04 1.00788 0.0975386 0.147704
0.04 1.10742 0.101511 0.110305
0.04 1.21086 0.105347 0.0749492
0.04 1.31807 0.109041 0.0428327
0.04 1.42889 0.112588 0.0149651
0.04 1.54319 0.115982 -0.0079245
0.04 1.66081 0.11922 -0.0254527
0.04 1.78158 0.122297 -0.0376077
0.04 1.90534 0.125209 -0.044732
0.04 2.03194 0.127952 -0.0474635
0.04 2.16119 0.130522 -0.0466459
0.04 2.29292 0.132916 -0.0432228
0.04 2.42696 0.13513 -0.0381325
0.04 2.56312 0.137162 -0.0322195
0.04 2.70122 0.139009 -0.0261723
0.04 2.84108 0.140668 -0.0204933
0.04 2.9825 0.142138 -0.0154977
