#x points: 24 #c points: 90
xloc: cloc: weight: f
values below 10e-5 have been chopped
0.04 -7.99441 0.0143307 0
0.04 -7.9706 0.0332928 0
0.04 -7.92787 0.0521244 0
0.04 -7.86643 0.0707101 0
0.04 -7.78657 0.0889594 0
0.04 -7.68866 0.106785 0
0.04 -7.57317 0.124101 0
0.04 -7.44065 0.140827 0
0.04 -7.29174 0.156881 0
0.04 -7.12714 0.172188 0
0.04 -6.94764 0.186674 0
0.04 -6.75409 0.20027 0
0.04 -6.54741 0.212912 0
0.04 -6.3286 0.22454 0
0.04 -6.09869 0.235097 0
0.04 -5.85878 0.244534 0
0.04 -5.61001 0.252806 0
0.04 -5.35357 0.259873 0
0.04 -5.09068 0.265701 0
0.04 -4.82259 0.270264 0.0000308643
0.04 -4.55058 0.273538 0.0000960176
0.04 -4.27595 0.275509 0.000277005
0.04 -4. 0.276167 0.000734444
0.04 -3.72405 0.275509 0.00177533
0.04 -3.44942 0.273538 0.00388434
0.04 -3.17741 0.270264 0.00764142
0.04 -2.90932 0.265701 0.0134263
0.04 -2.64643 0.259873 0.0209108
0.04 -2.38999 0.252806 0.0285701
0.04 -2.14122 0.244534 0.0336602
0.04 -1.90131 0.235097 0.0330304
0.04 -1.6714 0.22454 0.024659
0.04 -1.45259 0.212912 0.00918301
0.04 -1.24591 0.20027 -0.00951638
0.04 -1.05236 0.186674 -0.0251574
0.04 -0.872863 0.172188 -0.0310097
0.04 -0.708263 0.156881 -0.0220867
0.04 -0.55935 0.140827 0.00322881
0.04 -0.426833 0.124101 0.0424674
0.04 -0.311344 0.106785 0.0893071
0.04 -0.213433 0.0889594 0.135182
0.04 -0.133567 0.0707101 0.173154
0.04 -0.0721251 0.0521244 0.201776
0.04 -0.0294 0.0332928 0.222304
0.04 -0.00558542 0.0143307 0.234454
0.04 0.00558542 0.0143307 0.26898
0.04 0.0294 0.0332928 0.346277
0.04 0.0721251 0.0521244 0.401259
0.04 0.133567 0.0707101 0.428766
0.04 0.213433 0.0889594 0.436147
0.04 0.311344 0.106785 0.426602
0.04 0.426833 0.124101 0.400455
0.04 0.55935 0.140827 0.357607
0.04 0.708263 0.156881 0.299378
0.04 0.872863 0.172188 0.229678
0.04 1.05236 0.186674 0.155225
0.04 1.24591 0.20027 0.0845678
0.04 1.45259 0.212912 0.0260239
0.04 1.6714 0.22454 -0.0147345
0.04 1.90131 0.235097 -0.0363346
0.04 2.14122 0.244534 -0.0417278
0.04 2.38999 0.252806 -0.0365732
0.04 2.64643 0.259873 -0.0268859
0.04 2.90932 0.265701 -0.0171585
0.04 3.17741 0.270264 -0.00966761
0.04 3.44942 0.273538 -0.00485875
0.04 3.72405 0.275509 -0.00219543
0.04 4. 0.276167 -0.000898349
