#x points: 199 #c points: 80
xloc: cloc: weight: f
values below 10e-5 have been chopped
0.005 -7.99295 0.0180851 0
0.005 -7.9629 0.0419931 0
0.005 -7.90904 0.0656842 0
0.005 -7.83167 0.0889834 0
0.005 -7.73125 0.111748 0
0.005 -7.6084 0.133841 0
0.005 -7.46384 0.155129 0
0.005 -7.29845 0.175484 0
0.005 -7.11322 0.194783 0
0.005 -6.90927 0.212911 0
0.005 -6.68783 0.229759 0
0.005 -6.45022 0.245225 0
0.005 -6.19787 0.259216 0
0.005 -5.9323 0.271648 0
0.005 -5.65512 0.282447 0
0.005 -5.36798 0.291546 0
0.005 -5.07261 0.298893 0
0.005 -4.77079 0.304441 0
0.005 -4.46434 0.308159 -0.0000163264
0.005 -4.15509 0.310024 -0.0000687755
0.005 -3.84491 0.310024 -0.000245435
0.005 -3.53566 0.308159 -0.000744746
0.005 -3.22921 0.304441 -0.00191336
0.005 -2.92739 0.298893 -0.00411456
0.005 -2.63202 0.291546 -0.00722695
0.005 -2.34488 0.282447 -0.00975222
0.005 -2.0677 0.271648 -0.00802358
0.005 -1.80213 0.259216 0.00354995
0.005 -1.54978 0.245225 0.0306186
0.005 -1.31217 0.229759 0.0760704
0.005 -1.09073 0.212911 0.137997
0.005 -0.886777 0.194783 0.209879
0.005 -0.701551 0.175484 0.282908
0.005 -0.536162 0.155129 0.348992
0.005 -0.391605 0.133841 0.402926
0.005 -0.268749 0.111748 0.443006
0.005 -0.168333 0.0889834 0.470351
0.005 -0.0909602 0.0656842 0.487616
0.005 -0.037095 0.0419931 0.497697
0.005 -0.00704916 0.0180851 0.50275
0.005 0.00704916 0.0180851 0.514428
0.005 0.037095 0.0419931 0.539658
0.005 0.0909602 0.0656842 0.555182
0.005 0.168333 0.0889834 0.556436
0.005 0.268749 0.111748 0.542066
0.005 0.391605 0.133841 0.509231
0.005 0.536162 0.155129 0.455376
0.005 0.701551 0.175484 0.380689
0.005 0.886777 0.194783 0.290045
0.005 1.09073 0.212911 0.193398
0.005 1.31217 0.229759 0.103811
0.005 1.54978 0.245225 0.0333702
0.005 1.80213 0.259216 -0.011217
0.005 2.0677 0.271648 -0.0307802
0.005 2.34488 0.282447 -0.0322525
0.005 2.63202 0.291546 -0.0246844
0.005 2.92739 0.298893 -0.0153616
0.005 3.22921 0.304441 -0.00807862
0.005 3.53566 0.308159 -0.00366165
0.005 3.84491 0.310024 -0.00144978
0.005 4.15509 0.310024 -0.000507329
0.005 4.46434 0.308159 -0.000158766
0.005 4.77079 0.304441 -0.0000450035
0.005 5.07261 0.298893 -0.0000117189
0.005 5.36798 0.291546 0
0.005 5.65512 0.282447 0
0.005 5.9323 0.271648 0
0.005 6.19787 0.259216 0
0.005 6.45022 0.245225 0
0.005 6.68783 0.229759 0
0.005 6.90927 0.212911 0
0.005 7.11322 0.194783 0
0.005 7.29845 0.175484 0
0.005 7.46384 0.155129 0
0.005 7.6084 0.133841 0
0.005 7.73125 0.111748 0
0.005 7.83167 0.0889834 0
0.005 7.90904 0.0656842 0
0.005 7.9629 0.0419931 0
0.005 7.99295 0.0180851 0
0.01 -7.99295 0.0180851 0
0.01 -7.9629 0.0419931 0
0.01 -7.90904 0.0656842 0
0.01 -7.83167 0.0889834 0
0.01 -7.73125 0.111748 0
0.01 -7.6084 0.133841 0
0.01 -7.46384 0.155129 0
0.01 -7.29845 0.175484 0
0.01 -7.11322 0.194783 0
0.01 -6.90927 0.212911 0
0.01 -6.68783 0.229759 0
0.01 -6.45022 0.245225 0
0.01 -6.19787 0.259216 0
0.01 -5.9323 0.271648 0
0.01 -5.65512 0.282447 0
0.01 -5.36798 0.291546 0
0.01 -5.07261 0.298893 0
0.01 -4.77079 0.304441 0
0.01 -4.46434 0.308159 -0.0000151538
0.01 -4.15509 0.310024 -0.000064965
0.01 -3.84491 0.310024 -0.000234368
0.01 -3.53566 0.308159 -0.000716358
0.01 -3.22921 0.304441 -0.00184982
0.01 -2.92739 0.298893 -0.00399215
0.01 -2.63202 0.291546 -0.00702805
0.01 -2.34488 0.282447 -0.00949027
0.01 -2.0677 0.271648 -0.00777404
0.01 -1.80213 0.259216 0.00363118
0.01 -1.54978 0.245225 0.030308
0.01 -1.31217 0.229759 0.0751235
0.01 -1.09073 0.212911 0.13621
0.01 -0.886777 0.194783 0.207138
0.01 -0.701551 0.175484 0.279201
0.01 -0.536162 0.155129 0.344393
0.01 -0.391605 0.133841 0.397549
0.01 -0.268749 0.111748 0.436968
0.01 -0.168333 0.0889834 0.463736
0.01 -0.0909602 0.0656842 0.480471
0.01 -0.037095 0.0419931 0.490054
0.01 -0.00704916 0.0180851 0.494717
0.01 0.00704916 0.0180851 0.498036
0.01 0.037095 0.0419931 0.514119
0.01 0.0909602 0.0656842 0.532906
0.01 0.168333 0.0889834 0.53994
0.01 0.268749 0.111748 0.530351
0.01 0.391605 0.133841 0.501087
0.01 0.536162 0.155129 0.449901
0.01 0.701551 0.175484 0.377232
0.01 0.886777 0.194783 0.288094
0.01 1.09073 0.212911 0.192517
0.01 1.31217 0.229759 0.103619
0.01 1.54978 0.245225 0.0335467
0.01 1.80213 0.259216 -0.0109091
0.01 2.0677 0.271648 -0.0304861
0.01 2.34488 0.282447 -0.0320351
0.01 2.63202 0.291546 -0.0245504
0.01 2.92739 0.298893 -0.0152907
0.01 3.22921 0.304441 -0.00804594
0.01 3.53566 0.308159 -0.00364843
0.01 3.84491 0.310024 -0.00144504
0.01 4.15509 0.310024 -0.000505812
0.01 4.46434 0.308159 -0.000158328
0.01 4.77079 0.304441 -0.000044888
0.01 5.07261 0.298893 -0.0000116907
0.01 5.36798 0.291546 0
0.01 5.65512 0.282447 0
0.01 5.9323 0.271648 0
0.01 6.19787 0.259216 0
0.01 6.45022 0.245225 0
0.01 6.68783 0.229759 0
0.01 6.90927 0.212911 0
0.01 7.11322 0.194783 0
0.01 7.29845 0.175484 0
0.01 7.46384 0.155129 0
0.01 7.6084 0.133841 0
0.01 7.73125 0.111748 0
0.01 7.83167 0.0889834 0
0.01 7.90904 0.0656842 0
0.01 7.9629 0.0419931 0
0.01 7.99295 0.0180851 0
0.015 -7.99295 0.0180851 0
0.015 -7.9629 0.0419931 0
0.015 -7.90904 0.0656842 0
0.015 -7.83167 0.0889834 0
0.015 -7.73125 0.111748 0
0.015 -7.6084 0.133841 0
0.015 -7.46384 0.155129 0
