#x points: 24 #c points: 190
xloc: cloc: weight: f
values below 10e-5 have been chopped
0.04 -7.99873 0.00325426 0
0.04 -7.99332 0.00757187 0
0.04 -7.98359 0.0118877 0
0.04 -7.96955 0.0161912 0
0.04 -7.95121 0.0204773 0
0.04 -7.9286 0.0247413 0
0.04 -7.90174 0.0289785 0
0.04 -7.87065 0.0331844 0
0.04 -7.83538 0.0373544 0
0.04 -7.79596 0.0414839 0
0.04 -7.75243 0.0455686 0
0.04 -7.70484 0.0496039 0
0.04 -7.65324 0.0535856 0
0.04 -7.59769 0.0575093 0
0.04 -7.53824 0.0613708 0
0.04 -7.47497 0.0651659 0
0.04 -7.40793 0.0688904 0
0.04 -7.33721 0.0725404 0
0.04 -7.26288 0.0761119 0
0.04 -7.18501 0.0796011 0
0.04 -7.10371 0.0830041 0
0.04 -7.01904 0.0863173 0
0.04 -6.9311 0.0895371 0
0.04 -6.83999 0.09266 0
0.04 -6.74582 0.0956827 0
0.04 -6.64866 0.0986018 0
0.04 -6.54865 0.101414 0
0.04 -6.44587 0.104117 0
0.04 -6.34045 0.106707 0
0.04 -6.2325 0.109181 0
0.04 -6.12213 0.111538 0
0.04 -6.00946 0.113774 0
0.04 -5.89462 0.115886 0
0.04 -5.77773 0.117873 0
0.04 -5.65892 0.119733 0
0.04 -5.53831 0.121463 0
0.04 -5.41603 0.123062 0
0.04 -5.29223 0.124527 0
0.04 -5.16702 0.125858 0
0.04 -5.04056 0.127053 0
0.04 -4.91296 0.12811 0
0.04 -4.78438 0.129028 0
0.04 -4.65495 0.129807 0
0.04 -4.52482 0.130446 0
0.04 -4.39411 0.130943 -0.0000124346
0.04 -4.26298 0.131299 -0.000024888
0.04 -4.13156 0.131512 -0.0000473795
0.04 -4. 0.131583 -0.0000864099
0.04 -3.86844 0.131512 -0.000151617
0.04 -3.73702 0.131299 -0.000256594
0.04 -3.60589 0.130943 -0.000419463
0.04 -3.47518 0.130446 -0.000662854
0.04 -3.34505 0.129807 -0.00101276
0.04 -3.21562 0.129028 -0.00149569
0.04 -3.08704 0.12811 -0.00213357
0.04 -2.95944 0.127053 -0.00293588
0.04 -2.83298 0.125858 -0.00388915
0.04 -2.70777 0.124527 -0.0049443
0.04 -2.58397 0.123062 -0.00600315
0.04 -2.46169 0.121463 -0.00690617
0.04 -2.34108 0.119733 -0.00742405
0.04 -2.22227 0.117873 -0.00725585
0.04 -2.10538 0.115886 -0.00603611
0.04 -1.99054 0.113774 -0.00335222
0.04 -1.87787 0.111538 0.00122823
0.04 -1.7675 0.109181 0.00812197
0.04 -1.65955 0.106707 0.0176903
0.04 -1.55413 0.104117 0.0301995
0.04 -1.45135 0.101414 0.0457878
0.04 -1.35134 0.0986018 0.0644415
0.04 -1.25418 0.0956827 0.0859861
0.04 -1.16001 0.09266 0.110092
0.04 -1.0689 0.0895371 0.136294
0.04 -0.980963 0.0863173 0.164025
0.04 -0.896295 0.0830041 0.192654
0.04 -0.814985 0.0796011 0.221526
0.04 -0.737122 0.0761119 0.250011
0.04 -0.662789 0.0725404 0.277529
0.04 -0.592067 0.0688904 0.303587
0.04 -0.525033 0.0651659 0.327791
0.04 -0.461759 0.0613708 0.349858
0.04 -0.402313 0.0575093 0.369615
0.04 -0.346761 0.0535856 0.386993
0.04 -0.295161 0.0496039 0.402012
0.04 -0.247571 0.0455686 0.414769
0.04 -0.204041 0.0414839 0.425417
0.04 -0.164618 0.0373544 0.434149
0.04 -0.129345 0.0331844 0.441181
0.04 -0.0982611 0.0289785 0.446737
0.04 -0.0713987 0.0247413 0.451038
0.04 -0.0487874 0.0204773 0.454288
0.04 -0.0304515 0.0161912 0.456671
0.04 -0.0164108 0.0118877 0.458341
0.04 -0.00668019 0.00757187 0.459418
0.04 -0.00126813 0.00325426 0.459989
0.04 0.00126813 0.00325426 0.460501
0.04 0.00668019 0.00757187 0.462087
0.04 0.0164108 0.0118877 0.464777
0.04 0.0304515 0.0161912 0.468311
0.04 0.0487874 0.0204773 0.472335
0.04 0.0713987 0.0247413 0.476432
0.04 0.0982611 0.0289785 0.480143
0.04 0.129345 0.0331844 0.482981
0.04 0.164618 0.0373544 0.484452
0.04 0.204041 0.0414839 0.484061
0.04 0.247571 0.0455686 0.48133
0.04 0.295161 0.0496039 0.475809
0.04 0.346761 0.0535856 0.467093
0.04 0.402313 0.0575093 0.454845
0.04 0.461759 0.0613708 0.438813
0.04 0.525033 0.0651659 0.418864
0.04 0.592067 0.0688904 0.395002
0.04 0.662789 0.0725404 0.367395
0.04 0.737122 0.0761119 0.336384
0.04 0.814985 0.0796011 0.302495
0.04 0.896295 0.0830041 0.266424
0.04 0.980963 0.0863173 0.229022
0.04 1.0689 0.0895371 0.191248
0.04 1.16001 0.09266 0.154124
0.04 1.25418 0.0956827 0.118667
0.04 1.35134 0.0986018 0.0858248
0.04 1.45135 0.101414 0.0564065
0.04 1.55413 0.104117 0.0310275
0.04 1.65955 0.106707 0.0100688
0.04 1.7675 0.109181 -0.00634261
0.04 1.87787 0.111538 -0.0183286
0.04 1.99054 0.113774 -0.0262325
0.04 2.10538 0.115886 -0.0305716
0.04 2.22227 0.117873 -0.0319783
0.04 2.34108 0.119733 -0.0311357
0.04 2.46169 0.121463 -0.0287173
0.04 2.58397 0.123062 -0.0253366
0.04 2.70777 0.124527 -0.0215113
0.04 2.83298 0.125858 -0.0176445
0.04 2.95944 0.127053 -0.0140207
0.04 3.08704 0.12811 -0.010815
0.04 3.21562 0.129028 -0.00811072
0.04 3.34505 0.129807 -0.00592146
0.04 3.47518 0.130446 -0.00421317
0.04 3.60589 0.130943 -0.00292434
0.04 3.73702 0.131299 -0.00198189
0.04 3.86844 0.131512 -0.00131266
0.04 4. 0.131583 -0.000850405
0.04 4.13156 0.131512 -0.000539366
0.04 4.26298 0.131299 -0.000335213
0.04 4.39411 0.130943 -0.000204336
0.04 4.52482 0.130446 -0.000122288
0.04 4.65495 0.129807 -0.0000719248
0.04 4.78438 0.129028 -0.0000416191
0.04 4.91296 0.12811 -0.0000237198
0.04 5.04056 0.127053 -0.0000133303
0.04 5.16702 0.125858 0
0.04 5.29223 0.124527 0
0.04 5.41603 0.123062 0
0.04 5.53831 0.121463 0
