0	0	1	0	1	1	0.9428090415820642	0.9428090415820635	1.211885900596084e-17	1.211885900596094e-17
1	0	0	0	0	0	0	0	0	0
0	1	0	-1	0	0	0	0	0	0
0	0	0	0	-0.7071067811865479	-0.7071067811865479	-0.6666666666666671	-0.6666666666666657	-8.569327383358571e-18	-8.569327383358625e-18
0	0	0	2.886285365020623e-16	0	0	0	0	0	0
0	0	0	0	-0.7071067811865476	-0.7071067811865476	1	1	1	1
0	0	0	0	-0.7071067811865476	-0.7071067811865476	1	1	-1	-1
0	0	0	0	5.217322874630722e-09	-5.217322389227672e-09	0.8606629658238708	-0.86066296582387	1.484251041466833e-17	-1.484251041466841e-17
0	0	0	0	3.012222303988236e-09	-3.012222895478145e-09	-0.7453559924999299	0.7453559924999303	-1	1
0	0	0	0	3.012222303988236e-09	-3.012222895478145e-09	-0.7453559924999299	0.7453559924999303	1	-1
