#x points: 24 #c points: 150
xloc: cloc: weight: f
values below 10e-5 have been chopped
0.04 -7.99797 0.00520637 0
0.04 -7.98931 0.0121107 0
0.04 -7.97375 0.0190043 0
0.04 -7.95132 0.0258659 0
0.04 -7.92204 0.0326828 0
0.04 -7.88597 0.0394433 0
0.04 -7.84317 0.0461355 0
0.04 -7.79372 0.0527478 0
0.04 -7.73771 0.0592688 0
0.04 -7.67522 0.0656873 0
0.04 -7.60637 0.071992 0
0.04 -7.53128 0.078172 0
0.04 -7.45007 0.0842168 0
0.04 -7.36289 0.0901157 0
0.04 -7.26989 0.0958587 0
0.04 -7.17123 0.101436 0
0.04 -7.06708 0.106837 0
0.04 -6.95762 0.112054 0
0.04 -6.84304 0.117076 0
0.04 -6.72353 0.121896 0
0.04 -6.59932 0.126504 0
0.04 -6.4706 0.130894 0
0.04 -6.3376 0.135057 0
0.04 -6.20056 0.138987 0
0.04 -6.05971 0.142675 0
0.04 -5.91529 0.146117 0
0.04 -5.76756 0.149306 0
0.04 -5.61677 0.152236 0
0.04 -5.46318 0.154903 0
0.04 -5.30705 0.157302 0
0.04 -5.14866 0.159428 0
0.04 -4.98829 0.161278 0
0.04 -4.8262 0.162849 0
0.04 -4.66268 0.164138 0
0.04 -4.49802 0.165143 0
0.04 -4.33249 0.165862 -0.000017351
0.04 -4.16639 0.166294 -0.0000401273
0.04 -4. 0.166438 -0.00008641
0.04 -3.83361 0.166294 -0.000174892
0.04 -3.66751 0.165862 -0.000334329
0.04 -3.50198 0.165143 -0.000605073
0.04 -3.33732 0.164138 -0.00103755
0.04 -3.1738 0.162849 -0.00168488
0.04 -3.01171 0.161278 -0.00258671
0.04 -2.85134 0.159428 -0.0037422
0.04 -2.69295 0.157302 -0.00507275
0.04 -2.53682 0.154903 -0.00637927
0.04 -2.38323 0.152236 -0.00730346
0.04 -2.23244 0.149306 -0.00730618
0.04 -2.08471 0.146117 -0.00567641
0.04 -1.94029 0.142675 -0.00158013
0.04 -1.79944 0.138987 0.00585043
0.04 -1.6624 0.135057 0.0173978
0.04 -1.5294 0.130894 0.0336314
0.04 -1.40068 0.126504 0.0547964
0.04 -1.27647 0.121896 0.0807446
0.04 -1.15696 0.117076 0.110922
0.04 -1.04238 0.112054 0.144419
0.04 -0.93292 0.106837 0.180064
0.04 -0.828768 0.101436 0.216556
0.04 -0.730107 0.0958587 0.252601
0.04 -0.637106 0.0901157 0.287028
0.04 -0.549927 0.0842168 0.318882
0.04 -0.468721 0.078172 0.347477
0.04 -0.393628 0.071992 0.372407
0.04 -0.324779 0.0656873 0.393533
0.04 -0.262292 0.0592688 0.410943
0.04 -0.206275 0.0527478 0.424895
0.04 -0.156827 0.0461355 0.435767
0.04 -0.114031 0.0394433 0.443995
0.04 -0.0779627 0.0326828 0.45003
0.04 -0.0486841 0.0258659 0.454302
0.04 -0.0262459 0.0190043 0.457186
0.04 -0.0106863 0.0121107 0.458983
0.04 -0.0020289 0.00520637 0.45991
0.04 0.0020289 0.00520637 0.460728
0.04 0.0106863 0.0121107 0.463219
0.04 0.0262459 0.0190043 0.467295
0.04 0.0486841 0.0258659 0.472314
0.04 0.0779627 0.0326828 0.477452
0.04 0.114031 0.0394433 0.481771
0.04 0.156827 0.0461355 0.48428
0.04 0.206275 0.0527478 0.483978
0.04 0.262292 0.0592688 0.479894
0.04 0.324779 0.0656873 0.471136
0.04 0.393628 0.071992 0.456942
0.04 0.468721 0.078172 0.436755
0.04 0.549927 0.0842168 0.410301
0.04 0.637106 0.0901157 0.377669
0.04 0.730107 0.0958587 0.339378
0.04 0.828768 0.101436 0.296406
0.04 0.93292 0.106837 0.250174
0.04 1.04238 0.112054 0.202473
0.04 1.15696 0.117076 0.155322
0.04 1.27647 0.121896 0.110782
0.04 1.40068 0.126504 0.0707353
0.04 1.5294 0.130894 0.0366822
0.04 1.6624 0.135057 0.00957207
0.04 1.79944 0.138987 -0.0102828
0.04 1.94029 0.142675 -0.0232007
0.04 2.08471 0.146117 -0.0300307
0.04 2.23244 0.149306 -0.0319844
0.04 2.38323 0.152236 -0.0304329
0.04 2.53682 0.154903 -0.0267132
0.04 2.69295 0.157302 -0.0219759
0.04 2.85134 0.159428 -0.0170958
0.04 3.01171 0.161278 -0.012647
0.04 3.1738 0.162849 -0.00893116
0.04 3.33732 0.164138 -0.00603788
0.04 3.50198 0.165143 -0.00391663
0.04 3.66751 0.165862 -0.0024426
0.04 3.83361 0.166294 -0.00146723
0.04 4. 0.166438 -0.000850405
0.04 4.16639 0.166294 -0.000476441
0.04 4.33249 0.165862 -0.000258495
0.04 4.49802 0.165143 -0.00013608
0.04 4.66268 0.164138 -0.0000696501
0.04 4.8262 0.162849 -0.000034735
0.04 4.98829 0.161278 -0.0000169169
0.04 5.14866 0.159428 0
0.04 5.30705 0.157302 0
0.04 5.46318 0.154903 0
0.04 5.61677 0.152236 0
0.04 5.76756 0.149306 0
0.04 5.91529 0.146117 0
0.04 6.05971 0.142675 0
0.04 6.20056 0.138987 0
0.04 6.3376 0.135057 0
0.04 6.4706 0.130894 0
0.04 6.59932 0.126504 0
0.04 6.72353 0.121896 0
0.04 6.84304 0.117076 0
0.04 6.95762 0.112054 0
0.04 7.06708 0.106837 0
0.04 7.17123 0.101436 0
0.04 7.26989 0.0958587 0
0.04 7.36289 0.0901157 0
0.04 7.45007 0.0842168 0
0.04 7.53128 0.078172 0
0.04 7.60637 0.071992 0
0.04 7.67522 0.0656873 0
0.04 7.73771 0.0592688 0
0.04 7.79372 0.0527478 0
0.04 7.84317 0.0461355 0
0.04 7.88597 0.0394433 0
0.04 7.92204 0.0326828 0
0.04 7.95132 0.0258659 0
0.04 7.97375 0.0190043 0
0.04 7.98931 0.0121107 0
0.04 7.99797 0.00520637 0
0.08 -7.99797 0.00520637 0
0.08 -7.98931 0.0121107 0
0.08 -7.97375 0.0190043 0
0.08 -7.95132 0.0258659 0
0.08 -7.92204 0.0326828 0
0.08 -7.88597 0.0394433 0
0.08 -7.84317 0.0461355 0
0.08 -7.79372 0.0527478 0
0.08 -7.73771 0.0592688 0
0.08 -7.67522 0.0656873 0
0.08 -7.60637 0.071992 0
0.08 -7.53128 0.078172 0
0.08 -7.45007 0.0842168 0
0.08 -7.36289 0.0901157 0
0.08 -7.26989 0.0958587 0
0.08 -7.17123 0.101436 0
0.08 -7.06708 0.106837 0
0.08 -6.95762 0.112054 0
0.08 -6.84304 0.117076 0
0.08 -6.72353 0.121896 0
0.08 -6.59932 0.126504 0
0.08 -6.4706 0.130894 0
0.08 -6.3376 0.135057 0
0.08 -6.20056 0.138987 0
0.08 -6.05971 0.142675 0
0.08 -5.91529 0.146117 0
0.08 -5.76756 0.149306 0
0.08 -5.61677 0.152236 0
0.08 -5.46318 0.154903 0
0.08 -5.30705 0.157302 0
0.08 -5.14866 0.159428 0
0.08 -4.98829 0.161278 0
0.08 -4.8262 0.162849 0
0.08 -4.66268 0.164138 0
0.08 -4.49802 0.165143 0
0.08 -4.33249 0.165862 0
0.08 -4.16639 0.166294 -0.0000122164
0.08 -4. 0.166438 -0.0000361314
0.08 -3.83361 0.166294 -0.0000873631
0.08 -3.66751 0.165862 -0.00018734
0.08 -3.50198 0.165143 -0.000367398
0.08 -3.33732 0.164138 -0.000668203
0.08 -3.1738 0.162849 -0.0011344
0.08 -3.01171 0.161278 -0.00180171
0.08 -2.85134 0.159428 -0.00267426
0.08 -2.69295 0.157302 -0.00369225
0.08 -2.53682 0.154903 -0.00469357
0.08 -2.38323 0.152236 -0.00537739
0.08 -2.23244 0.149306 -0.00528149
0.08 -2.08471 0.146117 -0.00378582
0.08 -1.94029 0.142675 -0.000151812
0.08 -1.79944 0.138987 0.00640112
0.08 -1.6624 0.135057 0.01659
0.08 -1.5294 0.130894 0.0309519
0.08 -1.40068 0.126504 0.0497403
0.08 -1.27647 0.121896 0.0728574
0.08 -1.15696 0.117076 0.0998368
0.08 -1.04238 0.112054 0.129883
0.08 -0.93292 0.106837 0.161955
0.08 -0.828768 0.101436 0.194884
0.08 -0.730107 0.0958587 0.227496
0.08 -0.637106 0.0901157 0.25872
0.08 -0.549927 0.0842168 0.287676
0.08 -0.468721 0.078172 0.313721
0.08 -0.393628 0.071992 0.336472
0.08 -0.324779 0.0656873 0.355784
0.08 -0.262292 0.0592688 0.371722
0.08 -0.206275 0.0527478 0.38451
0.08 -0.156827 0.0461355 0.394483
0.08 -0.114031 0.0394433 0.402035
0.08 -0.0779627 0.0326828 0.407576
0.08 -0.0486841 0.0258659 0.411496
0.08 -0.0262459 0.0190043 0.41414
0.08 -0.0106863 0.0121107 0.415786
0.08 -0.0020289 0.00520637 0.416635
0.08 0.0020289 0.00520637 0.417037
0.08 0.0106863 0.0121107 0.417943
0.08 0.0262459 0.0190043 0.419592
0.08 0.0486841 0.0258659 0.421919
0.08 0.0779627 0.0326828 0.424685
0.08 0.114031 0.0394433 0.427416
0.08 0.156827 0.0461355 0.429401
0.08 0.206275 0.0527478 0.429748
0.08 0.262292 0.0592688 0.427463
0.08 0.324779 0.0656873 0.421536
0.08 0.393628 0.071992 0.411043
0.08 0.468721 0.078172 0.395238
0.08 0.549927 0.0842168 0.373648
0.08 0.637106 0.0901157 0.346165
0.08 0.730107 0.0958587 0.313108
0.08 0.828768 0.101436 0.275269
0.08 0.93292 0.106837 0.233896
0.08 1.04238 0.112054 0.190628
0.08 1.15696 0.117076 0.147363
0.08 1.27647 0.121896 0.10608
0.08 1.40068 0.126504 0.0686242
0.08 1.5294 0.130894 0.0364993
0.08 1.6624 0.135057 0.0107021
0.08 1.79944 0.138987 -0.00837491
0.08 1.94029 0.142675 -0.0209474
0.08 2.08471 0.146117 -0.0277531
0.08 2.23244 0.149306 -0.0298952
0.08 2.38323 0.152236 -0.0286499
0.08 2.53682 0.154903 -0.0252793
0.08 2.69295 0.157302 -0.0208811
0.08 2.85134 0.159428 -0.0162986
0.08 3.01171 0.161278 -0.0120915
0.08 3.1738 0.162849 -0.00855985
0.08 3.33732 0.164138 -0.0057994
0.08 3.50198 0.165143 -0.00376919
0.08 3.66751 0.165862 -0.00235473
0.08 3.83361 0.166294 -0.00141667
0.08 4. 0.166438 -0.00082227
0.08 4.16639 0.166294 -0.00046128
0.08 4.33249 0.165862 -0.000250569
0.08 4.49802 0.165143 -0.000132053
0.08 4.66268 0.164138 -0.0000676574
0.08 4.8262 0.162849 -0.0000337729
0.08 4.98829 0.161278 -0.0000164626
0.08 5.14866 0.159428 0
0.08 5.30705 0.157302 0
0.08 5.46318 0.154903 0
0.08 5.61677 0.152236 0
0.08 5.76756 0.149306 0
0.08 5.91529 0.146117 0
0.08 6.05971 0.142675 0
0.08 6.20056 0.138987 0
0.08 6.3376 0.135057 0
0.08 6.4706 0.130894 0
0.08 6.59932 0.126504 0
0.08 6.72353 0.121896 0
0.08 6.84304 0.117076 0
0.08 6.95762 0.112054 0
0.08 7.06708 0.106837 0
0.08 7.17123 0.101436 0
0.08 7.26989 0.0958587 0
0.08 7.36289 0.0901157 0
0.08 7.45007 0.0842168 0
0.08 7.53128 0.078172 0
0.08 7.60637 0.071992 0
0.08 7.67522 0.0656873 0
0.08 7.73771 0.0592688 0
0.08 7.79372 0.0527478 0
0.08 7.84317 0.0461355 0
0.08 7.88597 0.0394433 0
0.08 7.92204 0.0326828 0
0.08 7.95132 0.0258659 0
0.08 7.97375 0.0190043 0
0.08 7.98931 0.0121107 0
0.08 7.99797 0.00520637 0
0.12 -7.99797 0.00520637 0
0.12 -7.98931 0.0121107 0
0.12 -7.97375 0.0190043 0
0.12 -7.95132 0.0258659 0
0.12 -7.92204 0.0326828 0
0.12 -7.88597 0.0394433 0
0.12 -7.84317 0.0461355 0
0.12 -7.79372 0.0527478 0
0.12 -7.73771 0.0592688 0
0.12 -7.67522 0.0656873 0
0.12 -7.60637 0.071992 0
0.12 -7.53128 0.078172 0
0.12 -7.45007 0.0842168 0
0.12 -7.36289 0.0901157 0
0.12 -7.26989 0.0958587 0
0.12 -7.17123 0.101436 0
0.12 -7.06708 0.106837 0
0.12 -6.95762 0.112054 0
0.12 -6.84304 0.117076 0
0.12 -6.72353 0.121896 0
0.12 -6.59932 0.126504 0
0.12 -6.4706 0.130894 0
0.12 -6.3376 0.135057 0
0.12 -6.20056 0.138987 0
0.12 -6.05971 0.142675 0
0.12 -5.91529 0.146117 0
0.12 -5.76756 0.149306 0
0.12 -5.61677 0.152236 0
0.12 -5.46318 0.154903 0
0.12 -5.30705 0.157302 0
0.12 -5.14866 0.159428 0
0.12 -4.98829 0.161278 0
0.12 -4.8262 0.162849 0
0.12 -4.66268 0.164138 0
0.12 -4.49802 0.165143 0
0.12 -4.33249 0.165862 0.0000122956
0.12 -4.16639 0.166294 0.000015034
0.12 -4. 0.166438 0.0000129646
0.12 -3.83361 0.166294 0
0.12 -3.66751 0.165862 -0.000043774
0.12 -3.50198 0.165143 -0.000135237
0.12 -3.33732 0.164138 -0.000307406
0.12 -3.1738 0.162849 -0.000596653
0.12 -3.01171 0.161278 -0.00103485
0.12 -2.85134 0.159428 -0.00163099
0.12 -2.69295 0.157302 -0.00234363
0.12 -2.53682 0.154903 -0.00304669
0.12 -2.38323 0.152236 -0.00349523
0.12 -2.23244 0.149306 -0.00330169
0.12 -2.08471 0.146117 -0.00193405
0.12 -1.94029 0.142675 0.00125443
0.12 -1.79944 0.138987 0.00696108
0.12 -1.6624 0.135057 0.0158414
0.12 -1.5294 0.130894 0.0284038
0.12 -1.40068 0.126504 0.0449129
0.12 -1.27647 0.121896 0.0653224
0.12 -1.15696 0.117076 0.0892535
0.12 -1.04238 0.112054 0.116024
0.12 -0.93292 0.106837 0.14472
0.12 -0.828768 0.101436 0.1743
0.12 -0.730107 0.0958587 0.203704
0.12 -0.637106 0.0901157 0.231958
0.12 -0.549927 0.0842168 0.25825
0.12 -0.468721 0.078172 0.28198
0.12 -0.393628 0.071992 0.302778
0.12 -0.324779 0.0656873 0.320493
0.12 -0.262292 0.0592688 0.335164
0.12 -0.206275 0.0527478 0.34698
0.12 -0.156827 0.0461355 0.356231
0.12 -0.114031 0.0394433 0.363265
0.12 -0.0779627 0.0326828 0.368449
0.12 -0.0486841 0.0258659 0.372133
0.12 -0.0262459 0.0190043 0.37463
0.12 -0.0106863 0.0121107 0.376191
0.12 -0.0020289 0.00520637 0.376999
0.12 0.0020289 0.00520637 0.377371
0.12 0.0106863 0.0121107 0.378157
0.12 0.0262459 0.0190043 0.379476
0.12 0.0486841 0.0258659 0.381186
0.12 0.0779627 0.0326828 0.38308
0.12 0.114031 0.0394433 0.384857
0.12 0.156827 0.0461355 0.386065
0.12 0.206275 0.0527478 0.38608
0.12 0.262292 0.0592688 0.384123
0.12 0.324779 0.0656873 0.379315
0.12 0.393628 0.071992 0.370774
0.12 0.468721 0.078172 0.357714
0.12 0.549927 0.0842168 0.339561
0.12 0.637106 0.0901157 0.316053
0.12 0.730107 0.0958587 0.287331
0.12 0.828768 0.101436 0.253987
0.12 0.93292 0.106837 0.217067
0.12 1.04238 0.112054 0.178021
0.12 1.15696 0.117076 0.138585
0.12 1.27647 0.121896 0.100608
0.12 1.40068 0.126504 0.0658572
0.12 1.5294 0.130894 0.0358066
0.12 1.6624 0.135057 0.0114724
0.12 1.79944 0.138987 -0.00669163
0.12 1.94029 0.142675 -0.0188095
0.12 2.08471 0.146117 -0.0255112
0.12 2.23244 0.149306 -0.0277902
0.12 2.38323 0.152236 -0.0268234
0.12 2.53682 0.154903 -0.0237914
0.12 2.69295 0.157302 -0.0197334
0.12 2.85134 0.159428 -0.0154556
0.12 3.01171 0.161278 -0.0114998
0.12 3.1738 0.162849 -0.00816192
0.12 3.33732 0.164138 -0.00554241
0.12 3.50198 0.165143 -0.00360954
0.12 3.66751 0.165862 -0.00225916
0.12 3.83361 0.166294 -0.00136146
0.12 4. 0.166438 -0.000791445
0.12 4.16639 0.166294 -0.000444616
0.12 4.33249 0.165862 -0.000241832
0.12 4.49802 0.165143 -0.000127602
0.12 4.66268 0.164138 -0.0000654497
0.12 4.8262 0.162849 -0.0000327046
0.12 4.98829 0.161278 -0.0000159572
0.12 5.14866 0.159428 0
0.12 5.30705 0.157302 0
0.12 5.46318 0.154903 0
0.12 5.61677 0.152236 0
0.12 5.76756 0.149306 0
0.12 5.91529 0.146117 0
0.12 6.05971 0.142675 0
0.12 6.20056 0.138987 0
0.12 6.3376 0.135057 0
0.12 6.4706 0.130894 0
0.12 6.59932 0.126504 0
0.12 6.72353 0.121896 0
0.12 6.84304 0.117076 0
0.12 6.95762 0.112054 0
0.12 7.06708 0.106837 0
0.12 7.17123 0.101436 0
0.12 7.26989 0.0958587 0
0.12 7.36289 0.0901157 0
0.12 7.45007 0.0842168 0
0.12 7.53128 0.078172 0
0.12 7.60637 0.071992 0
0.12 7.67522 0.0656873 0
0.12 7.73771 0.0592688 0
0.12 7.79372 0.0527478 0
0.12 7.84317 0.0461355 0
0.12 7.88597 0.0394433 0
0.12 7.92204 0.0326828 0
0.12 7.95132 0.0258659 0
0.12 7.97375 0.0190043 0
0.12 7.98931 0.0121107 0
0.12 7.99797 0.00520637 0
0.16 -7.99797 0.00520637 0
0.16 -7.98931 0.0121107 0
0.16 -7.97375 0.0190043 0
0.16 -7.95132 0.0258659 0
0.16 -7.92204 0.0326828 0
0.16 -7.88597 0.0394433 0
0.16 -7.84317 0.0461355 0
0.16 -7.79372 0.0527478 0
0.16 -7.73771 0.0592688 0
0.16 -7.67522 0.0656873 0
0.16 -7.60637 0.071992 0
0.16 -7.53128 0.078172 0
0.16 -7.45007 0.0842168 0
0.16 -7.36289 0.0901157 0
0.16 -7.26989 0.0958587 0
0.16 -7.17123 0.101436 0
0.16 -7.06708 0.106837 0
0.16 -6.95762 0.112054 0
0.16 -6.84304 0.117076 0
0.16 -6.72353 0.121896 0
0.16 -6.59932 0.126504 0
0.16 -6.4706 0.130894 0
0.16 -6.3376 0.135057 0
0.16 -6.20056 0.138987 0
0.16 -6.05971 0.142675 0
0.16 -5.91529 0.146117 0
0.16 -5.76756 0.149306 0
0.16 -5.61677 0.152236 0
0.16 -5.46318 0.154903 0
0.16 -5.30705 0.157302 0
0.16 -5.14866 0.159428 0
0.16 -4.98829 0.161278 0
0.16 -4.8262 0.162849 0
0.16 -4.66268 0.164138 0
0.16 -4.49802 0.165143 0.0000161037
0.16 -4.33249 0.165862 0.0000266882
0.16 -4.16639 0.166294 0.0000418253
0.16 -4. 0.166438 0.000061251
0.16 -3.83361 0.166294 0.0000822208
0.16 -3.66751 0.165862 0.0000975251
0.16 -3.50198 0.165143 0.0000933352
0.16 -3.33732 0.164138 0.0000479284
0.16 -3.1738 0.162849 -0.0000668778
0.16 -3.01171 0.161278 -0.000279131
0.16 -2.85134 0.159428 -0.000602592
0.16 -2.69295 0.157302 -0.00101386
0.16 -2.53682 0.154903 -0.00142231
0.16 -2.38323 0.152236 -0.00163805
0.16 -2.23244 0.149306 -0.00134693
0.16 -2.08471 0.146117 -0.000103403
0.16 -1.94029 0.142675 0.0026493
0.16 -1.79944 0.138987 0.00752731
0.16 -1.6624 0.135057 0.0151267
0.16 -1.5294 0.130894 0.0259293
0.16 -1.40068 0.126504 0.0402122
0.16 -1.27647 0.121896 0.0579817
0.16 -1.15696 0.117076 0.0789465
0.16 -1.04238 0.112054 0.102537
0.16 -0.93292 0.106837 0.127963
0.16 -0.828768 0.101436 0.15431
0.16 -0.730107 0.0958587 0.180628
0.16 -0.637106 0.0901157 0.206035
0.16 -0.549927 0.0842168 0.229787
0.16 -0.468721 0.078172 0.251321
0.16 -0.393628 0.071992 0.270281
0.16 -0.324779 0.0656873 0.286507
0.16 -0.262292 0.0592688 0.300012
0.16 -0.206275 0.0527478 0.310946
0.16 -0.156827 0.0461355 0.319556
0.16 -0.114031 0.0394433 0.326144
0.16 -0.0779627 0.0326828 0.331032
0.16 -0.0486841 0.0258659 0.334532
0.16 -0.0262459 0.0190043 0.336921
0.16 -0.0106863 0.0121107 0.338424
0.16 -0.0020289 0.00520637 0.339206
0.16 0.0020289 0.00520637 0.339564
0.16 0.0106863 0.0121107 0.340312
0.16 0.0262459 0.0190043 0.341559
0.16 0.0486841 0.0258659 0.343141
0.16 0.0779627 0.0326828 0.344829
0.16 0.114031 0.0394433 0.34633
0.16 0.156827 0.0461355 0.347272
0.16 0.206275 0.0527478 0.347172
0.16 0.262292 0.0592688 0.345425
0.16 0.324779 0.0656873 0.341323
0.16 0.393628 0.071992 0.334103
0.16 0.468721 0.078172 0.323039
0.16 0.549927 0.0842168 0.307546
0.16 0.637106 0.0901157 0.287287
0.16 0.730107 0.0958587 0.262272
0.16 0.828768 0.101436 0.232923
0.16 0.93292 0.106837 0.200096
0.16 1.04238 0.112054 0.165045
