#x points: 24 #c points: 170
xloc: cloc: weight: f
values below 10e-5 have been chopped
0.04 -7.99842 0.00405989 0
0.04 -7.99167 0.00944533 0
0.04 -7.97953 0.014826 0
0.04 -7.96202 0.0201874 0
0.04 -7.93916 0.0255216 0
0.04 -7.91099 0.0308214 0
0.04 -7.87753 0.0360797 0
0.04 -7.83885 0.0412892 0
0.04 -7.79498 0.046443 0
0.04 -7.74598 0.0515341 0
0.04 -7.69193 0.0565557 0
0.04 -7.6329 0.0615009 0
0.04 -7.56896 0.066363 0
0.04 -7.5002 0.0711356 0
0.04 -7.42672 0.0758122 0
0.04 -7.34861 0.0803864 0
0.04 -7.26598 0.0848521 0
0.04 -7.17894 0.0892032 0
0.04 -7.08761 0.093434 0
0.04 -6.99212 0.0975386 0
0.04 -6.89258 0.101511 0
0.04 -6.78914 0.105347 0
0.04 -6.68193 0.109041 0
0.04 -6.57111 0.112588 0
0.04 -6.45681 0.115982 0
0.04 -6.33919 0.11922 0
0.04 -6.21842 0.122297 0
0.04 -6.09466 0.125209 0
0.04 -5.96806 0.127952 0
0.04 -5.83881 0.130522 0
0.04 -5.70708 0.132916 0
0.04 -5.57304 0.13513 0
0.04 -5.43688 0.137162 0
0.04 -5.29878 0.139009 0
0.04 -5.15892 0.140668 0
0.04 -5.0175 0.142138 0.0000158838
0.04 -4.87471 0.143415 0.0000302399
0.04 -4.73074 0.144499 0.000056572
0.04 -4.58578 0.145388 0.000103837
0.04 -4.44003 0.146081 0.000186722
0.04 -4.29368 0.146576 0.000328511
0.04 -4.14694 0.146873 0.000564753
0.04 -4. 0.146973 0.000947561
0.04 -3.85306 0.146873 0.00154995
0.04 -3.70632 0.146576 0.00246912
0.04 -3.55997 0.146081 0.00382707
0.04 -3.41422 0.145388 0.00576634
0.04 -3.26926 0.144499 0.00843858
0.04 -3.12529 0.143415 0.0119842
0.04 -2.9825 0.142138 0.0165024
0.04 -2.84108 0.140668 0.0220136
0.04 -2.70122 0.139009 0.0284178
0.04 -2.56312 0.137162 0.0354572
0.04 -2.42696 0.13513 0.0426913
0.04 -2.29292 0.132916 0.0494935
0.04 -2.16119 0.130522 0.055076
0.04 -2.03194 0.127952 0.0585459
0.04 -1.90534 0.125209 0.0589883
0.04 -1.78158 0.122297 0.0555657
0.04 -1.66081 0.11922 0.0476208
0.04 -1.54319 0.115982 0.0347649
0.04 -1.42889 0.112588 0.016938
0.04 -1.31807 0.109041 -0.00556972
0.04 -1.21086 0.105347 -0.0321379
0.04 -1.10742 0.101511 -0.0618735
0.04 -1.00788 0.0975386 -0.0936961
0.04 -0.912386 0.093434 -0.126437
0.04 -0.821057 0.0892032 -0.15894
0.04 -0.73402 0.0848521 -0.190146
0.04 -0.651391 0.0803864 -0.219159
0.04 -0.573283 0.0758122 -0.245287
0.04 -0.499801 0.0711356 -0.268056
0.04 -0.431044 0.066363 -0.287193
0.04 -0.367105 0.0615009 -0.302602
0.04 -0.30807 0.0565557 -0.314312
0.04 -0.254019 0.0515341 -0.322411
0.04 -0.205025 0.046443 -0.326971
0.04 -0.161154 0.0412892 -0.327923
0.04 -0.122465 0.0360797 -0.324866
0.04 -0.0890108 0.0308214 -0.316692
0.04 -0.0608362 0.0255216 -0.300749
0.04 -0.0379791 0.0201874 -0.270739
0.04 -0.0204705 0.014826 -0.211174
0.04 -0.0083336 0.00944533 -0.0887051
0.04 -0.00158209 0.00405989 0.0446137
0.04 0.00158209 0.00405989 0.361267
0.04 0.0083336 0.00944533 0.4221
0.04 0.0204705 0.014826 0.432346
0.04 0.0379791 0.0201874 0.435331
0.04 0.0608362 0.0255216 0.435906
0.04 0.0890108 0.0308214 0.43495
0.04 0.122465 0.0360797 0.432488
0.04 0.161154 0.0412892 0.428264
0.04 0.205025 0.046443 0.421906
0.04 0.254019 0.0515341 0.412989
0.04 0.30807 0.0565557 0.40109
0.04 0.367105 0.0615009 0.385824
0.04 0.431044 0.066363 0.366889
0.04 0.499801 0.0711356 0.344115
0.04 0.573283 0.0758122 0.317505
0.04 0.651391 0.0803864 0.287275
0.04 0.73402 0.0848521 0.253877
0.04 0.821057 0.0892032 0.218013
0.04 0.912386 0.093434 0.180611
0.04 1.00788 0.0975386 0.14279
0.04 1.10742 0.101511 0.105786
0.04 1.21086 0.105347 0.0708623
0.04 1.31807 0.109041 0.0391994
0.04 1.42889 0.112588 0.0117923
0.04 1.54319 0.115982 -0.0106441
0.04 1.66081 0.11922 -0.0277389
0.04 1.78158 0.122297 -0.0394914
0.04 1.90534 0.125209 -0.0462519
0.04 2.03194 0.127952 -0.0486638
0.04 2.16119 0.130522 -0.047573
0.04 2.29292 0.132916 -0.0439227
0.04 2.42696 0.13513 -0.0386488
0.04 2.56312 0.137162 -0.0325914
0.04 2.70122 0.139009 -0.0264339
0.04 2.84108 0.140668 -0.0206728
0.04 2.9825 0.142138 -0.015618
