#x points: 24 #c points: 110
xloc: cloc: weight: f
values below 10e-5 have been chopped
0.04 -7.99625 0.00963329 0
0.04 -7.98023 0.0223945 0
0.04 -7.95148 0.035103 0
0.04 -7.91006 0.0477006 0
0.04 -7.85613 0.0601458 0
0.04 -7.78984 0.0723985 0
0.04 -7.71141 0.0844192 0
0.04 -7.62109 0.0961696 0
0.04 -7.51917 0.107612 0
0.04 -7.40598 0.118709 0
0.04 -7.28188 0.129427 0
0.04 -7.14726 0.139729 0
0.04 -7.00257 0.149585 0
0.04 -6.84825 0.158961 0
0.04 -6.68482 0.167827 0
0.04 -6.51278 0.176157 0
0.04 -6.33269 0.183921 0
0.04 -6.14513 0.191097 0
0.04 -5.9507 0.197661 0
0.04 -5.75002 0.203591 0
0.04 -5.54374 0.208869 0
0.04 -5.33251 0.213479 0
0.04 -5.11701 0.217404 0.0000100078
0.04 -4.89793 0.220633 0.0000272756
0.04 -4.67598 0.223155 0.0000713568
0.04 -4.45186 0.224963 0.000178196
0.04 -4.22629 0.226049 0.000422623
0.04 -4. 0.226412 0.000947561
0.04 -3.77371 0.226049 0.0020002
0.04 -3.54814 0.224963 0.00396051
0.04 -3.32402 0.223155 0.00733148
0.04 -3.10207 0.220633 0.0126485
0.04 -2.88299 0.217404 0.0202735
0.04 -2.66749 0.213479 0.0300836
0.04 -2.45626 0.208869 0.0411376
0.04 -2.24998 0.203591 0.0514776
0.04 -2.0493 0.197661 0.0582331
0.04 -1.85487 0.191097 0.05811
0.04 -1.66731 0.183921 0.0481783
0.04 -1.48722 0.176157 0.0267126
0.04 -1.31518 0.167827 -0.00622358
0.04 -1.15175 0.158961 -0.0486729
0.04 -0.997433 0.149585 -0.0971889
0.04 -0.852737 0.139729 -0.14759
0.04 -0.718123 0.129427 -0.195799
0.04 -0.594022 0.118709 -0.238515
0.04 -0.480831 0.107612 -0.273569
0.04 -0.378913 0.0961696 -0.299954
0.04 -0.288594 0.0844192 -0.31755
0.04 -0.210165 0.0723985 -0.326643
0.04 -0.143875 0.0601458 -0.327142
0.04 -0.0899371 0.0477006 -0.317031
0.04 -0.0485242 0.035103 -0.28787
0.04 -0.0197681 0.0223945 -0.207082
0.04 -0.00375432 0.00963329 0.00817428
0.04 0.00375432 0.00963329 0.402439
0.04 0.0197681 0.0223945 0.4321
0.04 0.0485242 0.035103 0.435827
0.04 0.0899371 0.0477006 0.4349
0.04 0.143875 0.0601458 0.430319
0.04 0.210165 0.0723985 0.421058
0.04 0.288594 0.0844192 0.405617
0.04 0.378913 0.0961696 0.382506
0.04 0.480831 0.107612 0.350624
0.04 0.594022 0.118709 0.309647
0.04 0.718123 0.129427 0.260378
0.04 0.852737 0.139729 0.204962
0.04 0.997433 0.149585 0.146834
0.04 1.15175 0.158961 0.0903338
0.04 1.31518 0.167827 0.0399859
0.04 1.48722 0.176157 -0.00039345
0.04 1.66731 0.183921 -0.0285156
0.04 1.85487 0.191097 -0.0440798
0.04 2.0493 0.197661 -0.0487008
0.04 2.24998 0.203591 -0.0453273
0.04 2.45626 0.208869 -0.0373777
0.04 2.66749 0.213479 -0.0279095
0.04 2.88299 0.217404 -0.0190859
0.04 3.10207 0.220633 -0.0120359
0.04 3.32402 0.223155 -0.00703321
0.04 3.54814 0.224963 -0.00382331
0.04 3.77371 0.226049 -0.00194051
0.04 4. 0.226412 -0.000922948
0.04 4.22629 0.226049 -0.00041298
0.04 4.45186 0.224963 -0.000174595
0.04 4.67598 0.223155 -0.0000700702
0.04 4.89793 0.220633 -0.0000268337
0.04 5.11701 0.217404 0
0.04 5.33251 0.213479 0
0.04 5.54374 0.208869 0
0.04 5.75002 0.203591 0
0.04 5.9507 0.197661 0
0.04 6.14513 0.191097 0
0.04 6.33269 0.183921 0
0.04 6.51278 0.176157 0
0.04 6.68482 0.167827 0
0.04 6.84825 0.158961 0
0.04 7.00257 0.149585 0
0.04 7.14726 0.139729 0
0.04 7.28188 0.129427 0
0.04 7.40598 0.118709 0
0.04 7.51917 0.107612 0
0.04 7.62109 0.0961696 0
0.04 7.71141 0.0844192 0
0.04 7.78984 0.0723985 0
0.04 7.85613 0.0601458 0
0.04 7.91006 0.0477006 0
0.04 7.95148 0.035103 0
0.04 7.98023 0.0223945 0
0.04 7.99625 0.00963329 0
0.08 -7.99625 0.00963329 0
0.08 -7.98023 0.0223945 0
0.08 -7.95148 0.035103 0
0.08 -7.91006 0.0477006 0
0.08 -7.85613 0.0601458 0
0.08 -7.78984 0.0723985 0
0.08 -7.71141 0.0844192 0
0.08 -7.62109 0.0961696 0
0.08 -7.51917 0.107612 0
0.08 -7.40598 0.118709 0
0.08 -7.28188 0.129427 0
0.08 -7.14726 0.139729 0
0.08 -7.00257 0.149585 0
0.08 -6.84825 0.158961 0
0.08 -6.68482 0.167827 0
0.08 -6.51278 0.176157 0
0.08 -6.33269 0.183921 0
0.08 -6.14513 0.191097 0
0.08 -5.9507 0.197661 0
0.08 -5.75002 0.203591 0
0.08 -5.54374 0.208869 0
0.08 -5.33251 0.213479 0
0.08 -5.11701 0.217404 0.0000100086
0.08 -4.89793 0.220633 0.0000272779
0.08 -4.67598 0.223155 0.0000713629
0.08 -4.45186 0.224963 0.000178212
0.08 -4.22629 0.226049 0.000422663
0.08 -4. 0.226412 0.000947656
0.08 -3.77371 0.226049 0.00200041
0.08 -3.54814 0.224963 0.00396096
0.08 -3.32402 0.223155 0.00733236
0.08 -3.10207 0.220633 0.0126501
0.08 -2.88299 0.217404 0.0202763
0.08 -2.66749 0.213479 0.030088
0.08 -2.45626 0.208869 0.0411441
0.08 -2.24998 0.203591 0.0514863
0.08 -2.0493 0.197661 0.0582436
0.08 -1.85487 0.191097 0.0581211
0.08 -1.66731 0.183921 0.0481874
0.08 -1.48722 0.176157 0.026716
0.08 -1.31518 0.167827 -0.00623114
0.08 -1.15175 0.158961 -0.048698
0.08 -0.997433 0.149585 -0.0972392
0.08 -0.852737 0.139729 -0.147675
0.08 -0.718123 0.129427 -0.195929
0.08 -0.594022 0.118709 -0.238703
0.08 -0.480831 0.107612 -0.273833
0.08 -0.378913 0.0961696 -0.300319
0.08 -0.288594 0.0844192 -0.318056
0.08 -0.210165 0.0723985 -0.327358
0.08 -0.143875 0.0601458 -0.328189
0.08 -0.0899371 0.0477006 -0.318662
0.08 -0.0485242 0.035103 -0.290654
0.08 -0.0197681 0.0223945 -0.212284
0.08 -0.00375432 0.00963329 0.00371257
0.08 0.00375432 0.00963329 0.368414
0.08 0.0197681 0.0223945 0.424502
0.08 0.0485242 0.035103 0.432665
0.08 0.0899371 0.0477006 0.43319
0.08 0.143875 0.0601458 0.429261
0.08 0.210165 0.0723985 0.420349
0.08 0.288594 0.0844192 0.40512
0.08 0.378913 0.0961696 0.38215
0.08 0.480831 0.107612 0.350368
0.08 0.594022 0.118709 0.309465
0.08 0.718123 0.129427 0.260254
0.08 0.852737 0.139729 0.204881
0.08 0.997433 0.149585 0.146787
0.08 1.15175 0.158961 0.0903105
0.08 1.31518 0.167827 0.0399793
0.08 1.48722 0.176157 -0.000389585
0.08 1.66731 0.183921 -0.0285063
0.08 1.85487 0.191097 -0.0440688
0.08 2.0493 0.197661 -0.0486904
0.08 2.24998 0.203591 -0.0453188
0.08 2.45626 0.208869 -0.0373714
0.08 2.66749 0.213479 -0.0279052
0.08 2.88299 0.217404 -0.0190832
0.08 3.10207 0.220633 -0.0120344
0.08 3.32402 0.223155 -0.00703236
0.08 3.54814 0.224963 -0.00382288
0.08 3.77371 0.226049 -0.0019403
0.08 4. 0.226412 -0.000922855
0.08 4.22629 0.226049 -0.000412941
0.08 4.45186 0.224963 -0.000174579
0.08 4.67598 0.223155 -0.0000700642
0.08 4.89793 0.220633 -0.0000268316
0.08 5.11701 0.217404 0
0.08 5.33251 0.213479 0
0.08 5.54374 0.208869 0
0.08 5.75002 0.203591 0
0.08 5.9507 0.197661 0
0.08 6.14513 0.191097 0
0.08 6.33269 0.183921 0
0.08 6.51278 0.176157 0
0.08 6.68482 0.167827 0
0.08 6.84825 0.158961 0
0.08 7.00257 0.149585 0
0.08 7.14726 0.139729 0
0.08 7.28188 0.129427 0
0.08 7.40598 0.118709 0
0.08 7.51917 0.107612 0
0.08 7.62109 0.0961696 0
0.08 7.71141 0.0844192 0
0.08 7.78984 0.0723985 0
0.08 7.85613 0.0601458 0
0.08 7.91006 0.0477006 0
0.08 7.95148 0.035103 0
0.08 7.98023 0.0223945 0
0.08 7.99625 0.00963329 0
0.12 -7.99625 0.00963329 0
0.12 -7.98023 0.0223945 0
0.12 -7.95148 0.035103 0
0.12 -7.91006 0.0477006 0
0.12 -7.85613 0.0601458 0
0.12 -7.78984 0.0723985 0
0.12 -7.71141 0.0844192 0
0.12 -7.62109 0.0961696 0
0.12 -7.51917 0.107612 0
0.12 -7.40598 0.118709 0
0.12 -7.28188 0.129427 0
0.12 -7.14726 0.139729 0
0.12 -7.00257 0.149585 0
0.12 -6.84825 0.158961 0
0.12 -6.68482 0.167827 0
0.12 -6.51278 0.176157 0
0.12 -6.33269 0.183921 0
0.12 -6.14513 0.191097 0
0.12 -5.9507 0.197661 0
0.12 -5.75002 0.203591 0
0.12 -5.54374 0.208869 0
0.12 -5.33251 0.213479 0
0.12 -5.11701 0.217404 0.0000100094
0.12 -4.89793 0.220633 0.0000272801
0.12 -4.67598 0.223155 0.0000713691
0.12 -4.45186 0.224963 0.000178228
0.12 -4.22629 0.226049 0.000422703
0.12 -4. 0.226412 0.000947751
0.12 -3.77371 0.226049 0.00200062
0.12 -3.54814 0.224963 0.0039614
0.12 -3.32402 0.223155 0.00733324
0.12 -3.10207 0.220633 0.0126517
0.12 -2.88299 0.217404 0.0202791
0.12 -2.66749 0.213479 0.0300924
0.12 -2.45626 0.208869 0.0411505
0.12 -2.24998 0.203591 0.0514949
0.12 -2.0493 0.197661 0.0582541
0.12 -1.85487 0.191097 0.0581321
0.12 -1.66731 0.183921 0.0481966
0.12 -1.48722 0.176157 0.0267195
0.12 -1.31518 0.167827 -0.00623865
0.12 -1.15175 0.158961 -0.0487229
0.12 -0.997433 0.149585 -0.0972894
0.12 -0.852737 0.139729 -0.14776
0.12 -0.718123 0.129427 -0.196059
0.12 -0.594022 0.118709 -0.238891
0.12 -0.480831 0.107612 -0.274097
0.12 -0.378913 0.0961696 -0.300684
0.12 -0.288594 0.0844192 -0.318562
0.12 -0.210165 0.0723985 -0.328072
0.12 -0.143875 0.0601458 -0.329236
0.12 -0.0899371 0.0477006 -0.320297
0.12 -0.0485242 0.035103 -0.293454
0.12 -0.0197681 0.0223945 -0.217572
0.12 -0.00375432 0.00963329 -0.00112146
0.12 0.00375432 0.00963329 0.337576
0.12 0.0197681 0.0223945 0.417038
0.12 0.0485242 0.035103 0.42952
0.12 0.0899371 0.0477006 0.431484
0.12 0.143875 0.0601458 0.428203
0.12 0.210165 0.0723985 0.41964
0.12 0.288594 0.0844192 0.404623
0.12 0.378913 0.0961696 0.381794
0.12 0.480831 0.107612 0.350112
0.12 0.594022 0.118709 0.309284
0.12 0.718123 0.129427 0.260129
0.12 0.852737 0.139729 0.2048
0.12 0.997433 0.149585 0.146739
0.12 1.15175 0.158961 0.0902871
0.12 1.31518 0.167827 0.0399727
0.12 1.48722 0.176157 -0.000385743
0.12 1.66731 0.183921 -0.0284971
0.12 1.85487 0.191097 -0.0440578
0.12 2.0493 0.197661 -0.04868
0.12 2.24998 0.203591 -0.0453102
0.12 2.45626 0.208869 -0.0373651
0.12 2.66749 0.213479 -0.0279009
0.12 2.88299 0.217404 -0.0190805
0.12 3.10207 0.220633 -0.0120328
0.12 3.32402 0.223155 -0.0070315
0.12 3.54814 0.224963 -0.00382244
0.12 3.77371 0.226049 -0.00194009
0.12 4. 0.226412 -0.000922763
0.12 4.22629 0.226049 -0.000412902
0.12 4.45186 0.224963 -0.000174564
0.12 4.67598 0.223155 -0.0000700582
0.12 4.89793 0.220633 -0.0000268294
0.12 5.11701 0.217404 0
0.12 5.33251 0.213479 0
0.12 5.54374 0.208869 0
0.12 5.75002 0.203591 0
0.12 5.9507 0.197661 0
0.12 6.14513 0.191097 0
0.12 6.33269 0.183921 0
0.12 6.51278 0.176157 0
0.12 6.68482 0.167827 0
0.12 6.84825 0.158961 0
0.12 7.00257 0.149585 0
0.12 7.14726 0.139729 0
0.12 7.28188 0.129427 0
0.12 7.40598 0.118709 0
0.12 7.51917 0.107612 0
0.12 7.62109 0.0961696 0
0.12 7.71141 0.0844192 0
0.12 7.78984 0.0723985 0
0.12 7.85613 0.0601458 0
0.12 7.91006 0.0477006 0
0.12 7.95148 0.035103 0
0.12 7.98023 0.0223945 0
0.12 7.99625 0.00963329 0
0.16 -7.99625 0.00963329 0
0.16 -7.98023 0.0223945 0
0.16 -7.95148 0.035103 0
0.16 -7.91006 0.0477006 0
0.16 -7.85613 0.0601458 0
0.16 -7.78984 0.0723985 0
0.16 -7.71141 0.0844192 0
0.16 -7.62109 0.0961696 0
0.16 -7.51917 0.107612 0
0.16 -7.40598 0.118709 0
0.16 -7.28188 0.129427 0
0.16 -7.14726 0.139729 0
0.16 -7.00257 0.149585 0
0.16 -6.84825 0.158961 0
0.16 -6.68482 0.167827 0
0.16 -6.51278 0.176157 0
0.16 -6.33269 0.183921 0
0.16 -6.14513 0.191097 0
0.16 -5.9507 0.197661 0
0.16 -5.75002 0.203591 0
0.16 -5.54374 0.208869 0
0.16 -5.33251 0.213479 0
0.16 -5.11701 0.217404 0.0000100102
0.16 -4.89793 0.220633 0.0000272824
0.16 -4.67598 0.223155 0.0000713752
0.16 -4.45186 0.224963 0.000178244
0.16 -4.22629 0.226049 0.000422743
0.16 -4. 0.226412 0.000947846
0.16 -3.77371 0.226049 0.00200084
0.16 -3.54814 0.224963 0.00396185
0.16 -3.32402 0.223155 0.00733411
0.16 -3.10207 0.220633 0.0126533
0.16 -2.88299 0.217404 0.0202818
0.16 -2.66749 0.213479 0.0300968
0.16 -2.45626 0.208869 0.041157
0.16 -2.24998 0.203591 0.0515036
0.16 -2.0493 0.197661 0.0582646
0.16 -1.85487 0.191097 0.0581431
0.16 -1.66731 0.183921 0.0482057
0.16 -1.48722 0.176157 0.0267229
0.16 -1.31518 0.167827 -0.00624611
0.16 -1.15175 0.158961 -0.0487478
0.16 -0.997433 0.149585 -0.0973395
0.16 -0.852737 0.139729 -0.147844
0.16 -0.718123 0.129427 -0.196188
