-5.000000000000E-01    +6.158946083953E-01    -5.000000000000E-01    -2.258558564363E-03
-4.983333333333E-01    +6.267348973898E-01    -4.983183113244E-01    -6.300765680945E-03
-4.950000000000E-01    +6.469896850483E-01    -4.950037451863E-01    -1.366067665518E-02
-4.916666666667E-01    +6.653027926105E-01    -4.916674924422E-01    -2.007808644745E-02
-4.883333333333E-01    +6.820772706270E-01    -4.883348286203E-01    -2.574279336054E-02
-4.850000000000E-01    +6.976207455409E-01    -4.850010506898E-01    -3.081103087533E-02
-4.816666666667E-01    +7.121858527106E-01    -4.816675388704E-01    -3.540846873847E-02
-4.783333333333E-01    +7.259612932062E-01    -4.783340201244E-01    -3.962959829814E-02
-4.750000000000E-01    +7.390892642194E-01    -4.750005564602E-01    -4.354548781397E-02
-4.716666666667E-01    +7.516766395890E-01    -4.716671222048E-01    -4.720958635816E-02
-4.683333333333E-01    +7.638044327276E-01    -4.683337128362E-01    -5.066240216330E-02
-4.650000000000E-01    +7.755346122828E-01    -4.650003211481E-01    -5.393492257113E-02
-4.616666666667E-01    +7.869151257919E-01    -4.616669426738E-01    -5.705112314007E-02
-4.583333333333E-01    +7.979835481346E-01    -4.583335739480E-01    -6.002979271737E-02
-4.550000000000E-01    +8.087697404292E-01    -4.550002124901E-01    -6.288586286448E-02
-4.516666666667E-01    +8.192977884166E-01    -4.516668564784E-01    -6.563137718846E-02
-4.483333333333E-01    +8.295874193854E-01    -4.483335045828E-01    -6.827619987103E-02
-4.450000000000E-01    +8.396550409814E-01    -4.450001558267E-01    -7.082853512950E-02
-4.416666666667E-01    +8.495145057277E-01    -4.416668094907E-01    -7.329530951564E-02
-4.383333333333E-01    +8.591776762762E-01    -4.383334650424E-01    -7.568245457010E-02
-4.350000000000E-01    +8.686548456522E-01    -4.350001220853E-01    -7.799511696517E-02
-4.316666666667E-01    +8.779550517502E-01    -4.316667803224E-01    -8.023781576770E-02
-4.283333333333E-01    +8.870863145094E-01    -4.283334395292E-01    -8.241456103742E-02
-4.250000000000E-01    +8.960558163721E-01    -4.250000995346E-01    -8.452894406413E-02
-4.216666666667E-01    +9.048700409775E-01    -4.216667602067E-01    -8.658420672011E-02
-4.183333333333E-01    +9.135348809559E-01    -4.183334214430E-01    -8.858329536159E-02
-4.150000000000E-01    +9.220557227356E-01    -4.150000831623E-01    -9.052890323492E-02
-4.116666666667E-01    +9.304375141335E-01    -4.116667453001E-01    -9.242350427429E-02
-4.083333333333E-01    +9.386848189548E-01    -4.083334078041E-01    -9.426938040304E-02
-4.050000000000E-01    +9.468018617016E-01    -4.050000706311E-01    -9.606864388916E-02
-4.016666666667E-01    +9.547925646760E-01    -4.016667337455E-01    -9.782325589781E-02
-3.983333333333E-01    +9.626605791713E-01    -3.983333971172E-01    -9.953504208745E-02
-3.950000000000E-01    +9.704093120116E-01    -3.950000607206E-01    -1.012057058802E-01
-3.916666666667E-01    +9.780419483856E-01    -3.916667245336E-01    -1.028368398790E-01
-3.883333333333E-01    +9.855614716892E-01    -3.883333885371E-01    -1.044299357893E-01
-3.850000000000E-01    +9.929706809224E-01    -3.850000527141E-01    -1.059863931176E-01
-3.816666666667E-01    +1.000272206059E+00    -3.816667170498E-01    -1.075075268567E-01
-3.783333333333E-01    +1.007468521718E+00    -3.783333815310E-01    -1.089945743211E-01
-3.750000000000E-01    +1.014561959392E+00    -3.750000461458E-01    -1.104487012613E-01
-3.716666666667E-01    +1.021554718436E+00    -3.716667108837E-01    -1.118710073600E-01
-3.683333333333E-01    +1.028448875995E+00    -3.683333757351E-01    -1.132625311922E-01
-3.650000000000E-01    +1.035246395984E+00    -3.650000406913E-01    -1.146242547189E-01
-3.616666666667E-01    +1.041949137252E+00    -3.616667057445E-01    -1.159571073684E-01
-3.583333333333E-01    +1.048558861022E+00    -3.583333708874E-01    -1.172619697545E-01
-3.550000000000E-01    +1.055077237676E+00    -3.550000361136E-01    -1.185396770700E-01
-3.516666666667E-01    +1.061505852960E+00    -3.516667014171E-01    -1.197910221912E-01
-3.483333333333E-01    +1.067846213678E+00    -3.483333667926E-01    -1.210167585216E-01
-3.450000000000E-01    +1.074099752907E+00    -3.450000322349E-01    -1.222176026018E-01
-3.416666666667E-01    +1.080267834795E+00    -3.416666977395E-01    -1.233942365074E-01
-3.383333333333E-01    +1.086351758973E+00    -3.383333633023E-01    -1.245473100558E-01
-3.350000000000E-01    +1.092352764622E+00    -3.350000289193E-01    -1.256774428386E-01
-3.316666666667E-01    +1.098272034220E+00    -3.316666945870E-01    -1.267852260964E-01
-3.283333333333E-01    +1.104110697006E+00    -3.283333603021E-01    -1.278712244496E-01
-3.250000000000E-01    +1.109869832177E+00    -3.250000260616E-01    -1.289359774982E-01
-3.216666666667E-01    +1.115550471850E+00    -3.216666918627E-01    -1.299800013014E-01
-3.183333333333E-01    +1.121153603802E+00    -3.183333577028E-01    -1.310037897485E-01
-3.150000000000E-01    +1.126680174009E+00    -3.150000235796E-01    -1.320078158293E-01
-3.116666666667E-01    +1.132131089009E+00    -3.116666894907E-01    -1.329925328127E-01
-3.083333333333E-01    +1.137507218086E+00    -3.083333554343E-01    -1.339583753418E-01
-3.050000000000E-01    +1.142809395308E+00    -3.050000214083E-01    -1.349057604513E-01
-3.016666666667E-01    +1.148038421421E+00    -3.016666874110E-01    -1.358350885149E-01
-2.983333333333E-01    +1.153195065612E+00    -2.983333534407E-01    -1.367467441267E-01
-2.950000000000E-01    +1.158280067153E+00    -2.950000194960E-01    -1.376410969232E-01
