#x points: 199 #c points: 80
xloc: cloc: weight: f
values below 10e-5 have been chopped
0.005 -7.99295 0.0180851 0
0.005 -7.9629 0.0419931 0
0.005 -7.90904 0.0656842 0
0.005 -7.83167 0.0889834 0
0.005 -7.73125 0.111748 0
0.005 -7.6084 0.133841 0
0.005 -7.46384 0.155129 0
0.005 -7.29845 0.175484 0
0.005 -7.11322 0.194783 0
0.005 -6.90927 0.212911 0
0.005 -6.68783 0.229759 0
0.005 -6.45022 0.245225 0
0.005 -6.19787 0.259216 0
0.005 -5.9323 0.271648 0
0.005 -5.65512 0.282447 0
0.005 -5.36798 0.291546 0
0.005 -5.07261 0.298893 0.0000120773
0.005 -4.77079 0.304441 0.0000466522
0.005 -4.46434 0.308159 0.000165831
0.005 -4.15509 0.310024 0.000535192
0.005 -3.84491 0.310024 0.00154993
0.005 -3.53566 0.308159 0.00398723
0.005 -3.22921 0.304441 0.0090311
0.005 -2.92739 0.298893 0.0178622
0.005 -2.63202 0.291546 0.030573
0.005 -2.34488 0.282447 0.044712
0.005 -2.0677 0.271648 0.0545574
0.005 -1.80213 0.259216 0.0523743
0.005 -1.54978 0.245225 0.0317253
0.005 -1.31217 0.229759 -0.00890272
0.005 -1.09073 0.212911 -0.0645389
0.005 -0.886777 0.194783 -0.125269
0.005 -0.701551 0.175484 -0.179743
0.005 -0.536162 0.155129 -0.218389
0.005 -0.391605 0.133841 -0.234628
0.005 -0.268749 0.111748 -0.223582
0.005 -0.168333 0.0889834 -0.178782
0.005 -0.0909602 0.0656842 -0.089983
0.005 -0.037095 0.0419931 0.0323581
0.005 -0.00704916 0.0180851 0.0890029
0.005 0.00704916 0.0180851 0.425915
0.005 0.037095 0.0419931 0.443891
0.005 0.0909602 0.0656842 0.443728
0.005 0.168333 0.0889834 0.436226
0.005 0.268749 0.111748 0.418694
0.005 0.391605 0.133841 0.387261
0.005 0.536162 0.155129 0.339088
0.005 0.701551 0.175484 0.274246
0.005 0.886777 0.194783 0.197171
0.005 1.09073 0.212911 0.116814
0.005 1.31217 0.229759 0.0446708
0.005 1.54978 0.245225 -0.00901127
0.005 1.80213 0.259216 -0.0391579
0.005 2.0677 0.271648 -0.0475941
0.005 2.34488 0.282447 -0.0414266
0.005 2.63202 0.291546 -0.0291995
0.005 2.92739 0.298893 -0.017359
0.005 3.22921 0.304441 -0.00887162
0.005 3.53566 0.308159 -0.00394439
0.005 3.84491 0.310024 -0.00154056
0.005 4.15509 0.310024 -0.000533713
0.005 4.46434 0.308159 -0.000165759
0.005 4.77079 0.304441 -0.0000467104
0.005 5.07261 0.298893 -0.0000121071
0.005 5.36798 0.291546 0
0.005 5.65512 0.282447 0
0.005 5.9323 0.271648 0
0.005 6.19787 0.259216 0
0.005 6.45022 0.245225 0
0.005 6.68783 0.229759 0
0.005 6.90927 0.212911 0
0.005 7.11322 0.194783 0
0.005 7.29845 0.175484 0
0.005 7.46384 0.155129 0
0.005 7.6084 0.133841 0
0.005 7.73125 0.111748 0
0.005 7.83167 0.0889834 0
0.005 7.90904 0.0656842 0
0.005 7.9629 0.0419931 0
0.005 7.99295 0.0180851 0
0.01 -7.99295 0.0180851 0
0.01 -7.9629 0.0419931 0
0.01 -7.90904 0.0656842 0
0.01 -7.83167 0.0889834 0
0.01 -7.73125 0.111748 0
0.01 -7.6084 0.133841 0
0.01 -7.46384 0.155129 0
0.01 -7.29845 0.175484 0
0.01 -7.11322 0.194783 0
0.01 -6.90927 0.212911 0
0.01 -6.68783 0.229759 0
0.01 -6.45022 0.245225 0
0.01 -6.19787 0.259216 0
0.01 -5.9323 0.271648 0
0.01 -5.65512 0.282447 0
0.01 -5.36798 0.291546 0
0.01 -5.07261 0.298893 0.0000120786
0.01 -4.77079 0.304441 0.0000466575
0.01 -4.46434 0.308159 0.000165851
0.01 -4.15509 0.310024 0.000535262
0.01 -3.84491 0.310024 0.00155015
0.01 -3.53566 0.308159 0.00398783
0.01 -3.22921 0.304441 0.00903259
0.01 -2.92739 0.298893 0.0178654
0.01 -2.63202 0.291546 0.030579
0.01 -2.34488 0.282447 0.0447216
0.01 -2.0677 0.271648 0.0545701
0.01 -1.80213 0.259216 0.0523869
0.01 -1.54978 0.245225 0.0317305
0.01 -1.31217 0.229759 -0.0089166
0.01 -1.09073 0.212911 -0.0645876
0.01 -0.886777 0.194783 -0.125372
0.01 -0.701551 0.175484 -0.179921
0.01 -0.536162 0.155129 -0.218668
0.01 -0.391605 0.133841 -0.235041
0.01 -0.268749 0.111748 -0.224173
0.01 -0.168333 0.0889834 -0.179602
0.01 -0.0909602 0.0656842 -0.0910187
0.01 -0.037095 0.0419931 0.031461
0.01 -0.00704916 0.0180851 0.0882937
0.01 0.00704916 0.0180851 0.404207
0.01 0.037095 0.0419931 0.439291
0.01 0.0909602 0.0656842 0.441836
0.01 0.168333 0.0889834 0.435219
0.01 0.268749 0.111748 0.41809
0.01 0.391605 0.133841 0.386879
0.01 0.536162 0.155129 0.338847
0.01 0.701551 0.175484 0.2741
0.01 0.886777 0.194783 0.197091
0.01 1.09073 0.212911 0.116779
0.01 1.31217 0.229759 0.0446642
0.01 1.54978 0.245225 -0.00900337
0.01 1.80213 0.259216 -0.0391451
0.01 2.0677 0.271648 -0.0475822
0.01 2.34488 0.282447 -0.0414179
0.01 2.63202 0.291546 -0.0291941
0.01 2.92739 0.298893 -0.0173562
0.01 3.22921 0.304441 -0.00887033
0.01 3.53566 0.308159 -0.00394387
0.01 3.84491 0.310024 -0.00154038
0.01 4.15509 0.310024 -0.000533654
0.01 4.46434 0.308159 -0.000165742
0.01 4.77079 0.304441 -0.0000467059
0.01 5.07261 0.298893 -0.000012106
0.01 5.36798 0.291546 0
0.01 5.65512 0.282447 0
0.01 5.9323 0.271648 0
0.01 6.19787 0.259216 0
0.01 6.45022 0.245225 0
0.01 6.68783 0.229759 0
0.01 6.90927 0.212911 0
0.01 7.11322 0.194783 0
0.01 7.29845 0.175484 0
0.01 7.46384 0.155129 0
0.01 7.6084 0.133841 0
0.01 7.73125 0.111748 0
0.01 7.83167 0.0889834 0
0.01 7.90904 0.0656842 0
0.01 7.9629 0.0419931 0
0.01 7.99295 0.0180851 0
0.015 -7.99295 0.0180851 0
0.015 -7.9629 0.0419931 0
0.015 -7.90904 0.0656842 0
0.015 -7.83167 0.0889834 0
0.015 -7.73125 0.111748 0
0.015 -7.6084 0.133841 0
