#x points: 199 #c points: 80
xloc: cloc: weight: f
values below 10e-5 have been chopped
0.005 -7.99295 0.0180851 0
0.005 -7.9629 0.0419931 0
0.005 -7.90904 0.0656842 0
0.005 -7.83167 0.0889834 0
0.005 -7.73125 0.111748 0
0.005 -7.6084 0.133841 0
0.005 -7.46384 0.155129 0
0.005 -7.29845 0.175484 0
0.005 -7.11322 0.194783 0
0.005 -6.90927 0.212911 0
0.005 -6.68783 0.229759 0
0.005 -6.45022 0.245225 0
0.005 -6.19787 0.259216 0
0.005 -5.9323 0.271648 0
0.005 -5.65512 0.282447 0
0.005 -5.36798 0.291546 0
0.005 -5.07261 0.298893 0.000012314
0.005 -4.77079 0.304441 0.0000476312
0.005 -4.46434 0.308159 0.00016958
0.005 -4.15509 0.310024 0.000548316
0.005 -3.84491 0.310024 0.00159147
0.005 -3.53566 0.308159 0.00410504
0.005 -3.22921 0.304441 0.0093283
0.005 -2.92739 0.298893 0.0185249
0.005 -2.63202 0.291546 0.0318716
0.005 -2.34488 0.282447 0.0469324
0.005 -2.0677 0.271648 0.0578305
0.005 -1.80213 0.259216 0.0564225
0.005 -1.54978 0.245225 0.035611
0.005 -1.31217 0.229759 -0.00692194
0.005 -1.09073 0.212911 -0.0670051
0.005 -0.886777 0.194783 -0.135437
0.005 -0.701551 0.175484 -0.20158
0.005 -0.536162 0.155129 -0.256894
0.005 -0.391605 0.133841 -0.29674
0.005 -0.268749 0.111748 -0.320052
0.005 -0.168333 0.0889834 -0.327283
0.005 -0.0909602 0.0656842 -0.315989
0.005 -0.037095 0.0419931 -0.265656
0.005 -0.00704916 0.0180851 -0.0562543
0.005 0.00704916 0.0180851 0.437277
0.005 0.037095 0.0419931 0.438938
0.005 0.0909602 0.0656842 0.436366
0.005 0.168333 0.0889834 0.428163
0.005 0.268749 0.111748 0.410467
0.005 0.391605 0.133841 0.379184
0.005 0.536162 0.155129 0.331433
0.005 0.701551 0.175484 0.267271
0.005 0.886777 0.194783 0.191109
0.005 1.09073 0.212911 0.111832
0.005 1.31217 0.229759 0.0408353
0.005 1.54978 0.245225 -0.0117524
0.005 1.80213 0.259216 -0.0409604
0.005 2.0677 0.271648 -0.0486762
0.005 2.34488 0.282447 -0.0420156
0.005 2.63202 0.291546 -0.0294887
0.005 2.92739 0.298893 -0.0174866
0.005 3.22921 0.304441 -0.00892219
0.005 3.53566 0.308159 -0.00396238
0.005 3.84491 0.310024 -0.00154633
0.005 4.15509 0.310024 -0.000535385
0.005 4.46434 0.308159 -0.000166201
0.005 4.77079 0.304441 -0.0000468181
0.005 5.07261 0.298893 -0.0000121316
0.005 5.36798 0.291546 0
0.005 5.65512 0.282447 0
0.005 5.9323 0.271648 0
0.005 6.19787 0.259216 0
0.005 6.45022 0.245225 0
0.005 6.68783 0.229759 0
0.005 6.90927 0.212911 0
0.005 7.11322 0.194783 0
0.005 7.29845 0.175484 0
0.005 7.46384 0.155129 0
0.005 7.6084 0.133841 0
0.005 7.73125 0.111748 0
0.005 7.83167 0.0889834 0
0.005 7.90904 0.0656842 0
0.005 7.9629 0.0419931 0
0.005 7.99295 0.0180851 0
0.01 -7.99295 0.0180851 0
0.01 -7.9629 0.0419931 0
0.01 -7.90904 0.0656842 0
0.01 -7.83167 0.0889834 0
0.01 -7.73125 0.111748 0
0.01 -7.6084 0.133841 0
0.01 -7.46384 0.155129 0
0.01 -7.29845 0.175484 0
0.01 -7.11322 0.194783 0
0.01 -6.90927 0.212911 0
0.01 -6.68783 0.229759 0
0.01 -6.45022 0.245225 0
0.01 -6.19787 0.259216 0
0.01 -5.9323 0.271648 0
0.01 -5.65512 0.282447 0
0.01 -5.36798 0.291546 0
0.01 -5.07261 0.298893 0.0000123141
0.01 -4.77079 0.304441 0.0000476317
0.01 -4.46434 0.308159 0.000169582
0.01 -4.15509 0.310024 0.000548322
0.01 -3.84491 0.310024 0.00159149
0.01 -3.53566 0.308159 0.0041051
0.01 -3.22921 0.304441 0.00932844
0.01 -2.92739 0.298893 0.0185252
0.01 -2.63202 0.291546 0.0318722
0.01 -2.34488 0.282447 0.0469334
0.01 -2.0677 0.271648 0.0578318
0.01 -1.80213 0.259216 0.0564238
0.01 -1.54978 0.245225 0.0356117
0.01 -1.31217 0.229759 -0.00692292
0.01 -1.09073 0.212911 -0.0670093
0.01 -0.886777 0.194783 -0.135446
0.01 -0.701551 0.175484 -0.201597
0.01 -0.536162 0.155129 -0.256922
0.01 -0.391605 0.133841 -0.296784
0.01 -0.268749 0.111748 -0.320121
0.01 -0.168333 0.0889834 -0.327395
0.01 -0.0909602 0.0656842 -0.31619
0.01 -0.037095 0.0419931 -0.266083
0.01 -0.00704916 0.0180851 -0.0570144
0.01 0.00704916 0.0180851 0.434555
0.01 0.037095 0.0419931 0.438416
0.01 0.0909602 0.0656842 0.436154
0.01 0.168333 0.0889834 0.428051
0.01 0.268749 0.111748 0.4104
0.01 0.391605 0.133841 0.379142
0.01 0.536162 0.155129 0.331406
0.01 0.701551 0.175484 0.267255
0.01 0.886777 0.194783 0.191101
0.01 1.09073 0.212911 0.111828
0.01 1.31217 0.229759 0.0408344
0.01 1.54978 0.245225 -0.0117517
0.01 1.80213 0.259216 -0.0409591
0.01 2.0677 0.271648 -0.0486749
0.01 2.34488 0.282447 -0.0420147
0.01 2.63202 0.291546 -0.0294881
0.01 2.92739 0.298893 -0.0174863
0.01 3.22921 0.304441 -0.00892206
0.01 3.53566 0.308159 -0.00396232
0.01 3.84491 0.310024 -0.00154631
0.01 4.15509 0.310024 -0.000535379
0.01 4.46434 0.308159 -0.000166199
0.01 4.77079 0.304441 -0.0000468176
0.01 5.07261 0.298893 -0.0000121315
0.01 5.36798 0.291546 0
0.01 5.65512 0.282447 0
0.01 5.9323 0.271648 0
0.01 6.19787 0.259216 0
0.01 6.45022 0.245225 0
0.01 6.68783 0.229759 0
0.01 6.90927 0.212911 0
0.01 7.11322 0.194783 0
0.01 7.29845 0.175484 0
0.01 7.46384 0.155129 0
0.01 7.6084 0.133841 0
0.01 7.73125 0.111748 0
0.01 7.83167 0.0889834 0
0.01 7.90904 0.0656842 0
0.01 7.9629 0.0419931 0
0.01 7.99295 0.0180851 0
0.015 -7.99295 0.0180851 0
0.015 -7.9629 0.0419931 0
0.015 -7.90904 0.0656842 0
0.015 -7.83167 0.0889834 0
0.015 -7.73125 0.111748 0
