#x points: 24 #c points: 50
xloc: cloc: weight: f
values below 10e-5 have been chopped
0.04 -7.98223 0.0455752 0
0.04 -7.90666 0.10542 0
0.04 -7.7719 0.163757 0
0.04 -7.57997 0.219619 0
0.04 -7.33377 0.272153 0
0.04 -7.03704 0.320563 0
0.04 -6.69427 0.364113 0
0.04 -6.31065 0.402144 0
0.04 -5.89201 0.434078 0
0.04 -5.44469 0.459433 0
0.04 -4.97547 0.477823 0.0000192434
0.04 -4.49146 0.48897 0.000152214
0.04 -4. 0.492704 0.00094756
0.04 -3.50854 0.48897 0.00443627
0.04 -3.02453 0.477823 0.0150637
0.04 -2.55531 0.459433 0.0358691
0.04 -2.10799 0.434078 0.0568033
0.04 -1.68935 0.402144 0.0499526
0.04 -1.30573 0.364113 -0.00839262
0.04 -0.962963 0.320563 -0.108882
0.04 -0.666229 0.272153 -0.214033
0.04 -0.420032 0.219619 -0.290029
0.04 -0.228102 0.163757 -0.32521
0.04 -0.0933443 0.10542 -0.318212
0.04 -0.0177721 0.0455752 -0.194188
0.04 0.0177721 0.0455752 0.431277
0.04 0.0933443 0.10542 0.434705
0.04 0.228102 0.163757 0.41794
0.04 0.420032 0.219619 0.370318
0.04 0.666229 0.272153 0.281365
0.04 0.962963 0.320563 0.160356
0.04 1.30573 0.364113 0.0425915
0.04 1.68935 0.402144 -0.0310205
0.04 2.10799 0.434078 -0.0483827
0.04 2.55531 0.459433 -0.0329447
0.04 3.02453 0.477823 -0.0142852
0.04 3.50854 0.48897 -0.00427831
0.04 4. 0.492704 -0.000922946
0.04 4.49146 0.48897 -0.000149201
0.04 4.97547 0.477823 -0.0000189427
0.04 5.44469 0.459433 0
0.04 5.89201 0.434078 0
0.04 6.31065 0.402144 0
0.04 6.69427 0.364113 0
0.04 7.03704 0.320563 0
0.04 7.33377 0.272153 0
0.04 7.57997 0.219619 0
0.04 7.7719 0.163757 0
0.04 7.90666 0.10542 0
0.04 7.98223 0.0455752 0
0.08 -7.98223 0.0455752 0
0.08 -7.90666 0.10542 0
0.08 -7.7719 0.163757 0
0.08 -7.57997 0.219619 0
0.08 -7.33377 0.272153 0
0.08 -7.03704 0.320563 0
0.08 -6.69427 0.364113 0
0.08 -6.31065 0.402144 0
0.08 -5.89201 0.434078 0
0.08 -5.44469 0.459433 0
0.08 -4.97547 0.477823 0.0000192449
0.08 -4.49146 0.48897 0.000152227
0.08 -4. 0.492704 0.000947655
0.08 -3.50854 0.48897 0.00443677
0.08 -3.02453 0.477823 0.0150657
0.08 -2.55531 0.459433 0.0358745
0.08 -2.10799 0.434078 0.0568133
0.08 -1.68935 0.402144 0.0499621
0.08 -1.30573 0.364113 -0.00840095
0.08 -0.962963 0.320563 -0.10894
0.08 -0.666229 0.272153 -0.214185
0.08 -0.420032 0.219619 -0.290348
0.08 -0.228102 0.163757 -0.325865
0.08 -0.0933443 0.10542 -0.319787
0.08 -0.0177721 0.0455752 -0.199675
0.08 0.0177721 0.0455752 0.422857
0.08 0.0933443 0.10542 0.433057
0.08 0.228102 0.163757 0.417291
0.08 0.420032 0.219619 0.370008
0.08 0.666229 0.272153 0.281219
0.08 0.962963 0.320563 0.160301
0.08 1.30573 0.364113 0.0425842
0.08 1.68935 0.402144 -0.0310109
0.08 2.10799 0.434078 -0.0483728
0.08 2.55531 0.459433 -0.0329394
0.08 3.02453 0.477823 -0.0142833
0.08 3.50854 0.48897 -0.00427782
0.08 4. 0.492704 -0.000922854
0.08 4.49146 0.48897 -0.000149187
0.08 4.97547 0.477823 -0.0000189412
0.08 5.44469 0.459433 0
0.08 5.89201 0.434078 0
0.08 6.31065 0.402144 0
0.08 6.69427 0.364113 0
0.08 7.03704 0.320563 0
0.08 7.33377 0.272153 0
0.08 7.57997 0.219619 0
0.08 7.7719 0.163757 0
0.08 7.90666 0.10542 0
0.08 7.98223 0.0455752 0
0.12 -7.98223 0.0455752 0
0.12 -7.90666 0.10542 0
0.12 -7.7719 0.163757 0
0.12 -7.57997 0.219619 0
0.12 -7.33377 0.272153 0
0.12 -7.03704 0.320563 0
0.12 -6.69427 0.364113 0
0.12 -6.31065 0.402144 0
0.12 -5.89201 0.434078 0
0.12 -5.44469 0.459433 0
0.12 -4.97547 0.477823 0.0000192465
0.12 -4.49146 0.48897 0.000152241
0.12 -4. 0.492704 0.000947749
0.12 -3.50854 0.48897 0.00443728
0.12 -3.02453 0.477823 0.0150677
0.12 -2.55531 0.459433 0.03588
0.12 -2.10799 0.434078 0.0568234
0.12 -1.68935 0.402144 0.0499717
0.12 -1.30573 0.364113 -0.00840924
0.12 -0.962963 0.320563 -0.108997
0.12 -0.666229 0.272153 -0.214336
0.12 -0.420032 0.219619 -0.290667
0.12 -0.228102 0.163757 -0.326519
0.12 -0.0933443 0.10542 -0.321365
0.12 -0.0177721 0.0455752 -0.205267
0.12 0.0177721 0.0455752 0.414604
0.12 0.0933443 0.10542 0.431413
0.12 0.228102 0.163757 0.416642
0.12 0.420032 0.219619 0.369697
0.12 0.666229 0.272153 0.281073
0.12 0.962963 0.320563 0.160247
0.12 1.30573 0.364113 0.0425768
0.12 1.68935 0.402144 -0.0310012
0.12 2.10799 0.434078 -0.0483629
0.12 2.55531 0.459433 -0.0329341
0.12 3.02453 0.477823 -0.0142813
0.12 3.50854 0.48897 -0.00427733
0.12 4. 0.492704 -0.000922761
0.12 4.49146 0.48897 -0.000149174
0.12 4.97547 0.477823 -0.0000189396
0.12 5.44469 0.459433 0
0.12 5.89201 0.434078 0
0.12 6.31065 0.402144 0
0.12 6.69427 0.364113 0
0.12 7.03704 0.320563 0
0.12 7.33377 0.272153 0
0.12 7.57997 0.219619 0
0.12 7.7719 0.163757 0
0.12 7.90666 0.10542 0
0.12 7.98223 0.0455752 0
0.16 -7.98223 0.0455752 0
0.16 -7.90666 0.10542 0
0.16 -7.7719 0.163757 0
0.16 -7.57997 0.219619 0
0.16 -7.33377 0.272153 0
0.16 -7.03704 0.320563 0
0.16 -6.69427 0.364113 0
0.16 -6.31065 0.402144 0
0.16 -5.89201 0.434078 0
0.16 -5.44469 0.459433 0
0.16 -4.97547 0.477823 0.0000192481
0.16 -4.49146 0.48897 0.000152255
0.16 -4. 0.492704 0.000947844
0.16 -3.50854 0.48897 0.00443778
0.16 -3.02453 0.477823 0.0150696
0.16 -2.55531 0.459433 0.0358854
0.16 -2.10799 0.434078 0.0568334
0.16 -1.68935 0.402144 0.0499812
0.16 -1.30573 0.364113 -0.00841749
0.16 -0.962963 0.320563 -0.109054
0.16 -0.666229 0.272153 -0.214487
0.16 -0.420032 0.219619 -0.290985
0.16 -0.228102 0.163757 -0.327173
0.16 -0.0933443 0.10542 -0.322947
0.16 -0.0177721 0.0455752 -0.210965
0.16 0.0177721 0.0455752 0.406514
0.16 0.0933443 0.10542 0.429772
0.16 0.228102 0.163757 0.415993
0.16 0.420032 0.219619 0.369386
0.16 0.666229 0.272153 0.280926
0.16 0.962963 0.320563 0.160192
0.16 1.30573 0.364113 0.0425694
0.16 1.68935 0.402144 -0.0309916
0.16 2.10799 0.434078 -0.048353
0.16 2.55531 0.459433 -0.0329287
0.16 3.02453 0.477823 -0.0142794
0.16 3.50854 0.48897 -0.00427684
0.16 4. 0.492704 -0.000922669
0.16 4.49146 0.48897 -0.000149161
0.16 4.97547 0.477823 -0.0000189381
0.16 5.44469 0.459433 0
0.16 5.89201 0.434078 0
0.16 6.31065 0.402144 0
0.16 6.69427 0.364113 0
0.16 7.03704 0.320563 0
0.16 7.33377 0.272153 0
0.16 7.57997 0.219619 0
0.16 7.7719 0.163757 0
0.16 7.90666 0.10542 0
0.16 7.98223 0.0455752 0
0.2 -7.98223 0.0455752 0
0.2 -7.90666 0.10542 0
0.2 -7.7719 0.163757 0
0.2 -7.57997 0.219619 0
0.2 -7.33377 0.272153 0
0.2 -7.03704 0.320563 0
0.2 -6.69427 0.364113 0
0.2 -6.31065 0.402144 0
0.2 -5.89201 0.434078 0
0.2 -5.44469 0.459433 0
0.2 -4.97547 0.477823 0.0000192496
0.2 -4.49146 0.48897 0.000152268
0.2 -4. 0.492704 0.000947939
0.2 -3.50854 0.48897 0.00443828
0.2 -3.02453 0.477823 0.0150716
0.2 -2.55531 0.459433 0.0358908
0.2 -2.10799 0.434078 0.0568434
0.2 -1.68935 0.402144 0.0499907
0.2 -1.30573 0.364113 -0.00842569
0.2 -0.962963 0.320563 -0.109111
0.2 -0.666229 0.272153 -0.214638
0.2 -0.420032 0.219619 -0.291303
0.2 -0.228102 0.163757 -0.327827
0.2 -0.0933443 0.10542 -0.324532
0.2 -0.0177721 0.0455752 -0.216773
0.2 0.0177721 0.0455752 0.398583
0.2 0.0933443 0.10542 0.428135
0.2 0.228102 0.163757 0.415344
0.2 0.420032 0.219619 0.369074
0.2 0.666229 0.272153 0.280779
0.2 0.962963 0.320563 0.160137
0.2 1.30573 0.364113 0.0425619
0.2 1.68935 0.402144 -0.030982
0.2 2.10799 0.434078 -0.0483431
0.2 2.55531 0.459433 -0.0329234
0.2 3.02453 0.477823 -0.0142775
0.2 3.50854 0.48897 -0.00427635
0.2 4. 0.492704 -0.000922576
0.2 4.49146 0.48897 -0.000149148
0.2 4.97547 0.477823 -0.0000189366
0.2 5.44469 0.459433 0
0.2 5.89201 0.434078 0
0.2 6.31065 0.402144 0
0.2 6.69427 0.364113 0
0.2 7.03704 0.320563 0
0.2 7.33377 0.272153 0
0.2 7.57997 0.219619 0
0.2 7.7719 0.163757 0
0.2 7.90666 0.10542 0
0.2 7.98223 0.0455752 0
0.24 -7.98223 0.0455752 0
0.24 -7.90666 0.10542 0
0.24 -7.7719 0.163757 0
0.24 -7.57997 0.219619 0
0.24 -7.33377 0.272153 0
0.24 -7.03704 0.320563 0
0.24 -6.69427 0.364113 0
0.24 -6.31065 0.402144 0
0.24 -5.89201 0.434078 0
0.24 -5.44469 0.459433 0
0.24 -4.97547 0.477823 0.0000192512
0.24 -4.49146 0.48897 0.000152282
0.24 -4. 0.492704 0.000948033
0.24 -3.50854 0.48897 0.00443878
0.24 -3.02453 0.477823 0.0150735
0.24 -2.55531 0.459433 0.0358963
0.24 -2.10799 0.434078 0.0568535
0.24 -1.68935 0.402144 0.0500003
0.24 -1.30573 0.364113 -0.00843385
0.24 -0.962963 0.320563 -0.109168
0.24 -0.666229 0.272153 -0.214789
0.24 -0.420032 0.219619 -0.29162
0.24 -0.228102 0.163757 -0.328481
0.24 -0.0933443 0.10542 -0.326119
0.24 -0.0177721 0.0455752 -0.222692
0.24 0.0177721 0.0455752 0.390808
0.24 0.0933443 0.10542 0.426501
0.24 0.228102 0.163757 0.414694
0.24 0.420032 0.219619 0.368762
0.24 0.666229 0.272153 0.280632
0.24 0.962963 0.320563 0.160082
0.24 1.30573 0.364113 0.0425544
0.24 1.68935 0.402144 -0.0309724
0.24 2.10799 0.434078 -0.0483331
0.24 2.55531 0.459433 -0.032918
0.24 3.02453 0.477823 -0.0142756
0.24 3.50854 0.48897 -0.00427585
0.24 4. 0.492704 -0.000922483
0.24 4.49146 0.48897 -0.000149134
0.24 4.97547 0.477823 -0.0000189351
0.24 5.44469 0.459433 0
0.24 5.89201 0.434078 0
0.24 6.31065 0.402144 0
0.24 6.69427 0.364113 0
0.24 7.03704 0.320563 0
0.24 7.33377 0.272153 0
0.24 7.57997 0.219619 0
0.24 7.7719 0.163757 0
0.24 7.90666 0.10542 0
0.24 7.98223 0.0455752 0
0.28 -7.98223 0.0455752 0
0.28 -7.90666 0.10542 0
0.28 -7.7719 0.163757 0
0.28 -7.57997 0.219619 0
0.28 -7.33377 0.272153 0
0.28 -7.03704 0.320563 0
0.28 -6.69427 0.364113 0
0.28 -6.31065 0.402144 0
0.28 -5.89201 0.434078 0
0.28 -5.44469 0.459433 0
0.28 -4.97547 0.477823 0.0000192527
0.28 -4.49146 0.48897 0.000152295
0.28 -4. 0.492704 0.000948127
0.28 -3.50854 0.48897 0.00443928
0.28 -3.02453 0.477823 0.0150755
0.28 -2.55531 0.459433 0.0359017
0.28 -2.10799 0.434078 0.0568635
0.28 -1.68935 0.402144 0.0500098
0.28 -1.30573 0.364113 -0.00844196
0.28 -0.962963 0.320563 -0.109225
0.28 -0.666229 0.272153 -0.214939
0.28 -0.420032 0.219619 -0.291937
0.28 -0.228102 0.163757 -0.329134
0.28 -0.0933443 0.10542 -0.32771
0.28 -0.0177721 0.0455752 -0.228725
0.28 0.0177721 0.0455752 0.383186
0.28 0.0933443 0.10542 0.42487
0.28 0.228102 0.163757 0.414044
0.28 0.420032 0.219619 0.36845
0.28 0.666229 0.272153 0.280485
0.28 0.962963 0.320563 0.160026
0.28 1.30573 0.364113 0.0425468
0.28 1.68935 0.402144 -0.0309628
0.28 2.10799 0.434078 -0.0483232
0.28 2.55531 0.459433 -0.0329127
0.28 3.02453 0.477823 -0.0142736
0.28 3.50854 0.48897 -0.00427536
0.28 4. 0.492704 -0.00092239
0.28 4.49146 0.48897 -0.000149121
0.28 4.97547 0.477823 -0.0000189336
0.28 5.44469 0.459433 0
0.28 5.89201 0.434078 0
0.28 6.31065 0.402144 0
0.28 6.69427 0.364113 0
0.28 7.03704 0.320563 0
0.28 7.33377 0.272153 0
0.28 7.57997 0.219619 0
0.28 7.7719 0.163757 0
0.28 7.90666 0.10542 0
0.28 7.98223 0.0455752 0
0.32 -7.98223 0.0455752 0
0.32 -7.90666 0.10542 0
0.32 -7.7719 0.163757 0
0.32 -7.57997 0.219619 0
0.32 -7.33377 0.272153 0
0.32 -7.03704 0.320563 0
0.32 -6.69427 0.364113 0
0.32 -6.31065 0.402144 0
0.32 -5.89201 0.434078 0
0.32 -5.44469 0.459433 0
0.32 -4.97547 0.477823 0.0000192542
0.32 -4.49146 0.48897 0.000152309
0.32 -4. 0.492704 0.000948221
0.32 -3.50854 0.48897 0.00443978
0.32 -3.02453 0.477823 0.0150775
0.32 -2.55531 0.459433 0.0359071
0.32 -2.10799 0.434078 0.0568735
0.32 -1.68935 0.402144 0.0500194
0.32 -1.30573 0.364113 -0.00845002
0.32 -0.962963 0.320563 -0.109281
0.32 -0.666229 0.272153 -0.215089
0.32 -0.420032 0.219619 -0.292254
0.32 -0.228102 0.163757 -0.329788
0.32 -0.0933443 0.10542 -0.329305
0.32 -0.0177721 0.0455752 -0.234875
0.32 0.0177721 0.0455752 0.375713
0.32 0.0933443 0.10542 0.423242
0.32 0.228102 0.163757 0.413393
0.32 0.420032 0.219619 0.368137
0.32 0.666229 0.272153 0.280337
0.32 0.962963 0.320563 0.159971
0.32 1.30573 0.364113 0.0425392
0.32 1.68935 0.402144 -0.0309532
0.32 2.10799 0.434078 -0.0483132
0.32 2.55531 0.459433 -0.0329073
0.32 3.02453 0.477823 -0.0142717
0.32 3.50854 0.48897 -0.00427487
0.32 4. 0.492704 -0.000922297
0.32 4.49146 0.48897 -0.000149108
0.32 4.97547 0.477823 -0.000018932
0.32 5.44469 0.459433 0
0.32 5.89201 0.434078 0
0.32 6.31065 0.402144 0
0.32 6.69427 0.364113 0
0.32 7.03704 0.320563 0
0.32 7.33377 0.272153 0
0.32 7.57997 0.219619 0
0.32 7.7719 0.163757 0
0.32 7.90666 0.10542 0
0.32 7.98223 0.0455752 0
0.36 -7.98223 0.0455752 0
0.36 -7.90666 0.10542 0
0.36 -7.7719 0.163757 0
0.36 -7.57997 0.219619 0
0.36 -7.33377 0.272153 0
0.36 -7.03704 0.320563 0
0.36 -6.69427 0.364113 0
0.36 -6.31065 0.402144 0
0.36 -5.89201 0.434078 0
0.36 -5.44469 0.459433 0
0.36 -4.97547 0.477823 0.0000192558
0.36 -4.49146 0.48897 0.000152322
0.36 -4. 0.492704 0.000948315
0.36 -3.50854 0.48897 0.00444028
0.36 -3.02453 0.477823 0.0150794
0.36 -2.55531 0.459433 0.0359125
0.36 -2.10799 0.434078 0.0568835
0.36 -1.68935 0.402144 0.050029
0.36 -1.30573 0.364113 -0.00845804
0.36 -0.962963 0.320563 -0.109338
0.36 -0.666229 0.272153 -0.215239
0.36 -0.420032 0.219619 -0.29257
0.36 -0.228102 0.163757 -0.33044
0.36 -0.0933443 0.10542 -0.330902
0.36 -0.0177721 0.0455752 -0.241145
0.36 0.0177721 0.0455752 0.368385
0.36 0.0933443 0.10542 0.421618
0.36 0.228102 0.163757 0.412742
0.36 0.420032 0.219619 0.367824
0.36 0.666229 0.272153 0.28019
0.36 0.962963 0.320563 0.159916
0.36 1.30573 0.364113 0.0425315
0.36 1.68935 0.402144 -0.0309436
0.36 2.10799 0.434078 -0.0483033
0.36 2.55531 0.459433 -0.0329019
0.36 3.02453 0.477823 -0.0142698
0.36 3.50854 0.48897 -0.00427437
0.36 4. 0.492704 -0.000922204
0.36 4.49146 0.48897 -0.000149094
0.36 4.97547 0.477823 -0.0000189305
0.36 5.44469 0.459433 0
0.36 5.89201 0.434078 0
0.36 6.31065 0.402144 0
0.36 6.69427 0.364113 0
0.36 7.03704 0.320563 0
0.36 7.33377 0.272153 0
0.36 7.57997 0.219619 0
0.36 7.7719 0.163757 0
0.36 7.90666 0.10542 0
0.36 7.98223 0.0455752 0
0.4 -7.98223 0.0455752 0
0.4 -7.90666 0.10542 0
0.4 -7.7719 0.163757 0
0.4 -7.57997 0.219619 0
0.4 -7.33377 0.272153 0
0.4 -7.03704 0.320563 0
0.4 -6.69427 0.364113 0
0.4 -6.31065 0.402144 0
0.4 -5.89201 0.434078 0
0.4 -5.44469 0.459433 0
0.4 -4.97547 0.477823 0.0000192573
0.4 -4.49146 0.48897 0.000152336
0.4 -4. 0.492704 0.000948409
0.4 -3.50854 0.48897 0.00444078
0.4 -3.02453 0.477823 0.0150814
0.4 -2.55531 0.459433 0.0359179
0.4 -2.10799 0.434078 0.0568935
0.4 -1.68935 0.402144 0.0500385
0.4 -1.30573 0.364113 -0.00846602
0.4 -0.962963 0.320563 -0.109394
0.4 -0.666229 0.272153 -0.215389
0.4 -0.420032 0.219619 -0.292886
0.4 -0.228102 0.163757 -0.331093
0.4 -0.0933443 0.10542 -0.332503
0.4 -0.0177721 0.0455752 -0.247536
0.4 0.0177721 0.0455752 0.361201
0.4 0.0933443 0.10542 0.419998
0.4 0.228102 0.163757 0.412091
0.4 0.420032 0.219619 0.367511
0.4 0.666229 0.272153 0.280041
0.4 0.962963 0.320563 0.15986
0.4 1.30573 0.364113 0.0425238
0.4 1.68935 0.402144 -0.030934
0.4 2.10799 0.434078 -0.0482933
0.4 2.55531 0.459433 -0.0328966
0.4 3.02453 0.477823 -0.0142678
0.4 3.50854 0.48897 -0.00427388
0.4 4. 0.492704 -0.000922111
0.4 4.49146 0.48897 -0.000149081
0.4 4.97547 0.477823 -0.000018929
0.4 5.44469 0.459433 0
0.4 5.89201 0.434078 0
0.4 6.31065 0.402144 0
0.4 6.69427 0.364113 0
0.4 7.03704 0.320563 0
0.4 7.33377 0.272153 0
0.4 7.57997 0.219619 0
0.4 7.7719 0.163757 0
0.4 7.90666 0.10542 0
0.4 7.98223 0.0455752 0
0.44 -7.98223 0.0455752 0
0.44 -7.90666 0.10542 0
0.44 -7.7719 0.163757 0
0.44 -7.57997 0.219619 0
0.44 -7.33377 0.272153 0
0.44 -7.03704 0.320563 0
0.44 -6.69427 0.364113 0
0.44 -6.31065 0.402144 0
0.44 -5.89201 0.434078 0
0.44 -5.44469 0.459433 0
0.44 -4.97547 0.477823 0.0000192589
0.44 -4.49146 0.48897 0.000152349
