#x points: 24 #c points: 90
xloc: cloc: weight: f
values below 10e-5 have been chopped
0.04 -7.99441 0.0143307 0
0.04 -7.9706 0.0332928 0
0.04 -7.92787 0.0521244 0
0.04 -7.86643 0.0707101 0
0.04 -7.78657 0.0889594 0
0.04 -7.68866 0.106785 0
0.04 -7.57317 0.124101 0
0.04 -7.44065 0.140827 0
0.04 -7.29174 0.156881 0
0.04 -7.12714 0.172188 0
0.04 -6.94764 0.186674 0
0.04 -6.75409 0.20027 0
0.04 -6.54741 0.212912 0
0.04 -6.3286 0.22454 0
0.04 -6.09869 0.235097 0
0.04 -5.85878 0.244534 0
0.04 -5.61001 0.252806 0
0.04 -5.35357 0.259873 0
0.04 -5.09068 0.265701 0.0000113208
0.04 -4.82259 0.270264 0.0000380372
0.04 -4.55058 0.273538 0.000119906
0.04 -4.27595 0.275509 0.000351203
0.04 -4. 0.276167 0.000947561
0.04 -3.72405 0.275509 0.00233725
0.04 -3.44942 0.273538 0.00523573
0.04 -3.17741 0.270264 0.010589
0.04 -2.90932 0.265701 0.019226
0.04 -2.64643 0.259873 0.0311439
0.04 -2.38999 0.252806 0.0446302
0.04 -2.14122 0.244534 0.0557677
0.04 -1.90131 0.235097 0.0589423
0.04 -1.6714 0.22454 0.0485209
0.04 -1.45259 0.212912 0.0210801
0.04 -1.24591 0.20027 -0.0229505
0.04 -1.05236 0.186674 -0.0791332
0.04 -0.872863 0.172188 -0.140413
0.04 -0.708263 0.156881 -0.199293
0.04 -0.55935 0.140827 -0.24976
0.04 -0.426833 0.124101 -0.288285
0.04 -0.311344 0.106785 -0.313735
0.04 -0.213433 0.0889594 -0.326415
0.04 -0.133567 0.0707101 -0.326255
0.04 -0.0721251 0.0521244 -0.308732
0.04 -0.0294 0.0332928 -0.248995
0.04 -0.00558542 0.0143307 -0.0339298
0.04 0.00558542 0.0143307 0.413924
0.04 0.0294 0.0332928 0.434404
0.04 0.0721251 0.0521244 0.435678
0.04 0.133567 0.0707101 0.431418
0.04 0.213433 0.0889594 0.420509
0.04 0.311344 0.106785 0.400304
0.04 0.426833 0.124101 0.368207
0.04 0.55935 0.140827 0.322706
0.04 0.708263 0.156881 0.264396
0.04 0.872863 0.172188 0.196705
0.04 1.05236 0.186674 0.125893
0.04 1.24591 0.20027 0.0599741
0.04 1.45259 0.212912 0.00665625
0.04 1.6714 0.22454 -0.0289952
0.04 1.90131 0.235097 -0.0461059
0.04 2.14122 0.244534 -0.0479301
0.04 2.38999 0.252806 -0.040206
0.04 2.64643 0.259873 -0.0288432
0.04 2.90932 0.265701 -0.0181264
0.04 3.17741 0.270264 -0.0101066
0.04 3.44942 0.273538 -0.00504137
0.04 3.72405 0.275509 -0.00226524
0.04 4. 0.276167 -0.000922948
